# source: https://www.youtube.com/watch?v=bTItSDksk10
# video_id: bTItSDksk10
# fetched: 2026-09-23T12:14:44.770Z
# segments: 1338

[00:32:36] ま、えと、各年多分課題があると思うん
[00:32:38] ですが、ま、こもどのように利用していく
[00:32:41] かちょっともう少し具体的にお伺いできれ
[00:32:44] ばと思います。
[00:32:48] 立格教育課長
[00:32:51] はい。お答えをいたします。え、学年ごと
[00:32:57] のと言いますか、ま、小学校、中学生、え
[00:33:00] 、それぞれですけども、学習指導という
[00:33:03] ものに、ま、定期的に改定されますが、
[00:33:06] それに基づいて、え、教えるべきこと、
[00:33:10] 指導すべきことと々
[00:33:14] 決まってきます。え、それに基づいて、え
[00:33:18] 、各学校で、え、地域の特色も生かし
[00:33:21] ながらどういう風に授業展開していくかと
[00:33:24] いうのは、これICTとか同向じゃなくて
[00:33:26] 、授業はそういう風に進んでいきますと。
[00:33:30] え、その上でICT部分についての利用に
[00:33:34] ついても、あの、そういう取り扱い基準
[00:33:37] じゃないですけれども、指導の中にこう
[00:33:40] いう場面での活用と、ま、こういう利用は
[00:33:44] あのダめだよとか、あ、色々なことがあの
[00:33:48] 盛り込まれて、え、くるかと思います。え
[00:33:52] 、その上で新徳長でその部分がどうだと
[00:33:55] 言われるとなかなか、え、お答えできない
[00:33:58] 部分もありますけど、ま、あの学習指導
[00:34:00] よりに基づいたあの使い方、ま、適切な
[00:34:06] 使い方というようなところで、え、進めて
[00:34:10] まいりたいと考えております。
[00:34:12] あの、定期的に学習指導よりを見直しをされますので、ま、それを中止し、中身も中止しながらですね、え、適切な活用を図れるように、え、務めてまいりたいと思います。以上です。
[00:34:27] 中村委員。
[00:34:29] はい、ありがとうございます。あの、ま、色々学習指導もこれから色々出てくるかとは思います。
[00:34:35] ただ、ま、あのですね、あの、ま、担任の
[00:34:37] 先生に、ま、委ねるとかそういったやり方
[00:34:41] にならないようにだけ注意していただいて
[00:34:43] 、とりあえず、ま、タブレット持って書い
[00:34:45] てとかなんとなく使ってみるというので
[00:34:48] あれば、ま、そんなタブレットを利用する
[00:34:52] 必要性はないよねっていうような形には
[00:34:54] なっていってしまうと思いますので、ある
[00:34:55] 程度やっぱりその全体としての目標、ま、
[00:34:58] やり方、そういったものを明確に出して
[00:35:00] いって欲しいと思います。
[00:35:06] 私学校教育課長
[00:35:09] はい。え、お答えいたします。え、学習指導に基づいていくことは、あの、もちろんなけれども、あの、活用方法について、え、ですね、え、その時々の教育課題にをテーマにして、え、先生方の中ですね、え、教育研究というものを組織を持っております。
[00:35:31] その中でICTの利活用についてどうある
[00:35:33] べきかっていうか、どういう風にしたら
[00:35:35] いいかという議論も先生、え、たちの複数
[00:35:38] の先生方の中でですね、え、されており
[00:35:41] ます。ま、そこをベースにですね、え、
[00:35:45] 具体[咳払い]的にどういう風に新徳長の
[00:35:48] 学校現場で、え、展開していくかという
[00:35:50] ことをですね、え、決めていきたいなと
[00:35:53] 思います。以上です。
[00:35:56] 他にありませんか?
[00:36:00] なければ次に進みます。え、引き続き教育
[00:36:06] 費の234ページ下談から260ページ
[00:36:10] までの第5項社会教育費から第6
[00:36:15] 項保険体育費までについてご発言ください
[00:36:18] 。
[00:36:22] 森本委員
[00:36:24] はい。はい。えっとですね、あのページで
[00:36:27] 言いますと、ま、公民館管理経費という
[00:36:30] ことで、え、240ページになるんです
[00:36:33] けれども、
[00:36:35] え、240ページの公民館の管理経費、
[00:36:39] この中、あの、これどこで質問していいの
[00:36:42] かちょっと分からなかったんですが、えっ
[00:36:44] と、公民館はWi-Fiが使えるように
[00:36:47] なっていないというお話で、私はこういう
[00:36:50] ことってあまりよく詳しくは分からないん
[00:36:52] ですけれども、え、公民官はなで、
[00:36:55] Wi-Fiが使えないようになっているの
[00:36:57] かをちょっとお聞きしたいんですけど、
[00:37:01] [鼻息]大山社会教育課長、
[00:37:06] え、お答えします。え、Wi-Fiのです
[00:37:10] ね、公民館の、え、必要性については担当
[00:37:14] の方でも感じて考えておりまして、え、
[00:37:18] ちょっと何年か前かは分からないんです
[00:37:21] けども、予算計上をしたんですけども、
[00:37:24] えっと、予算がつかなかったというあの
[00:37:27] 経緯がございます。
[00:37:28] で、ま、あの、今内でですね、その、えっと、デジタル化ですか推進しておりますので、ま、新年度に向けて再度を要求していきたいと思います。以上です。
[00:37:43] 森本委員。
[00:37:45] はい。あの、ご苦労様でございます。はい。
[00:37:49] あの、やはりですね、あの、町民の方から
[00:37:52] 名みとかそういうところ使えるところが
[00:37:54] あるのに、あの、公民館っていうのは意外
[00:37:56] と長外から来てコンサートだったりとか
[00:37:59] いろんなことで利用される方も多いのに、
[00:38:02] Wi-Fiが使えないという、やはり私の
[00:38:05] 方にもそういうお声をあの、出して
[00:38:07] いただいた方がおります。それで今あのお
[00:38:11] 聞きしたところ課長が努力されて
[00:38:13] るっていうことでしたので私の方からも
[00:38:15] あのちあの長の方に是非ともあの公民官の
[00:38:20] 方にWi-Fiを使えるようにして
[00:38:22] いただきたいと思いますのでよろしくお
[00:38:24] 願いしたいと思います。
[00:38:29] 答弁いいですか?
[00:38:32] 他にありませんか?
[00:38:34] 若杉員。
[00:38:39] え、私の方から2点ほどお聞きいたします
[00:38:42] 。えっと248ページ
[00:38:46] スポーツ画宿の里事業、え、それと255
[00:38:51] ページ超越エスケートリンク造成委託
[00:38:57] え、まずスポーツの
[00:39:01] 関係ですけども、ま、予算390万に対し
[00:39:05] て573万の支出っていうことで、ま、
[00:39:10] このまず増えた理由もまず1点、ま、色々
[00:39:13] PR活動内容も変えたと思うんですけども
[00:39:16] 、ま、その中でですね、
[00:39:21] ま、人気のあるピアザ、ピアサの画宿、
[00:39:27] ま、早期の予約が優先ちゅうことで、ま、
[00:39:31] 新規団体が入れない状態でお聞きしており
[00:39:34] ます。これどうしてもね、多様な利用に
[00:39:37] 向けての必要性はあると思うんですよ。
[00:39:41] ま、本当にあの、はっきり申し上げますと
[00:39:43] 、ま、陸上関係が主に使われてて、
[00:39:47] ま、いろんなスポーツ団体が利用したいっ
[00:39:50] ちゅうことで入りきれない。この辺はどう
[00:39:54] 、マストでどう考えたのか。この1点。
[00:39:59] それと
[00:40:01] スケートリング調整ですね。
[00:40:04] ま、各前頭的に報道されております。あの
[00:40:07] 、温暖化による
[00:40:10] リンク同
[00:40:12] 難しさと共にですね、スケート人口が減少
[00:40:15] してると、
[00:40:18] ま、スケート事業さえ廃止論も出てますの
[00:40:21] でですね、この辺現状で新徳長は
[00:40:26] どう取られてるか、
[00:40:29] まずその点だけちょっとお聞きしたい。
[00:40:35] 残休憩いたします。
[00:40:37] スケープリンクの関係はこの銀増学校事業に何か英語があるのかとかどちらかった?
[00:40:48] はい。あの、ま、スケート増勢に関係してはその経済的なあの委託関係者の関係もあります。
[00:41:00] ま、それはそれで1つ
[00:41:05] あの残さはならんような授業だと思うん
[00:41:08] ですけれども、あの私が言いたいのはあの
[00:41:12] ま、これスケード学習ばっかじゃなくて、
[00:41:15] ま、町民の健康増でですね、使われていく
[00:41:19] ものだと。これ昔からそういう形で増成し
[00:41:22] てきたもんですよ。そん中であの前動的に
[00:41:26] その
[00:41:30] 町民の健康も兼ねたスケード学習も兼ねた
[00:41:35] それがだんだんと減ってきますよね。蝶と
[00:41:39] して今どうやって捉えてて将来的にどう
[00:41:41] 考えてるのかもうそうなった時にどう考え
[00:41:43] てるのかちゅう現状だけを知てたんですよ
[00:41:45] 。はい。
[00:41:49] ちょっとはい。
[00:41:52] 休憩を時再開いたします。大山社会教育課長。
[00:41:58] え、お答えします。合宿のまずですね、補助金の関係ですね、えっと、当初よりも増えているというところで、えっと、合宿に来ていただいている団体にですね、えっと、合宿費、宿泊費の補助というところで補助金を支出していたりですね。
[00:42:16] え、主になんですけども、空港まで、えっ
[00:42:20] と、新徳でしたら新地都歳空港が多いん
[00:42:22] ですけども、空港までの、えっと、送迎
[00:42:25] ですねについては超をメインで使用して
[00:42:29] いるんですけども、超が使えない時に、
[00:42:32] えっと、民間バスを活用しております。点
[00:42:34] で民間バスの、え、経費がですね、最近
[00:42:39] あの物価によりバス大も高くなっています
[00:42:43] ので、そういった観点とあと合宿団体自体
[00:42:46] も増えておりますので、そういったところ
[00:42:48] でですね、補助金という形がの支質が増え
[00:42:52] ている、増えております。え、それと
[00:42:55] ピラサの合宿の利用の関係ですけども、
[00:42:58] 私たちが把握している分では、ま、ある
[00:43:00] 一点の期間は合宿で利用できますという
[00:43:03] ところで、え、合宿用として抑えてあるん
[00:43:06] ですけども、えっと、最近、ま、今年、
[00:43:10] 去年はですね、えっと、夏場については
[00:43:15] あそこを使うのは陸上以外の、えっと、
[00:43:20] 申し込みはないかなと思っております。
[00:43:22] ただですね、その早い物がちで
[00:43:27] その宿泊施設ですね、宿泊施設が、え、
[00:43:31] 陸上関係で埋まっているので、ま、他の
[00:43:34] 団体が入ってこれないっていうお話は聞い
[00:43:36] ておりますけども、そこはある程度ですね
[00:43:39] 、え、ま、早いもがちでそこはあの、
[00:43:44] こちらが調整するできるところではないの
[00:43:47] かなという風に考えております。
[00:43:51] あ、ごめんなさい。あとスケートリンクの
[00:43:54] 増成の関係ですけども、今新徳はですね、
[00:43:58] え、
[00:44:01] 12月中のリンク増
[00:44:06] できるのが12月中年内というところで、
[00:44:09] えっと、ずっと続いているかなという風に
[00:44:11] 思います。他の、えっと、市町村ではです
[00:44:14] ね、ま、増苦労されていたり、あの、
[00:44:17] オープンできなかったという年も、え、
[00:44:19] 学校リンクとかですとあるようですけども
[00:44:21] 、新徳は、えっと、まだそういった状況で
[00:44:24] は、あの、本当にこれは、あの、委託業者
[00:44:28] のご努力なんだろうと思うんですけども、
[00:44:31] え、そういった状況ではないかなという風
[00:44:33] に考えております。ま、スキー場と一緒な
[00:44:35] んですけども、スケートリンクに関しては
[00:44:38] ですね、ま、委託量というところもあるん
[00:44:40] ですけども、え、できる限りあの気候温暖
[00:44:45] 化ありますけどもできる限りあのちょっと
[00:44:48] 状況を見ながらですけども続けていきたい
[00:44:51] と思っておりますし、え、
[00:44:54] そうですね、作らないっていう選択肢は今
[00:44:56] のところ全く考えていないです。
[00:45:03] 若杉委員、
[00:45:05] ありがとうございます。ま、施設の関係から見、見送ってるか受け入れられないっちゅう今答弁だと思うんですけど、あの、やっぱり持つ親は一番その辺が心配してですね。
[00:45:21] 全て
[00:45:22] 陸上が全てかならないわけで、例えばその多様な競技が受けれられるようにですね、これ街もやっぱり取り組まなきゃならないと思うんですよ。
[00:45:34] これまあ相手やることですから民間がその宿泊施設のまやるわけではないんですけども、ま、その辺の絡みもありますから何ともこれ上調がどうするんだって言わうかもしれないんですけどね。
[00:45:47] ただ現状
[00:45:50] 府県の方は
[00:45:53] なぜそういう
[00:45:57] その協議だけになるのかってちゅうことを
[00:45:59] まずそれは思ってるってことを考えて
[00:46:01] ください。やっぱり多様なものを利用
[00:46:03] できるような形でやって欲しいってのが
[00:46:05] 要望なんです。え、それとスケートリンク
[00:46:08] 関係まなかなか
[00:46:11] 同じ繰り返しになるんですけどね。あの、
[00:46:14] ま、経済対策、冬の経済対策ってことで
[00:46:17] 本当にお入りなってます。その業者さんに
[00:46:20] は本当に寒い中ご苦労様です。ただ、あの
[00:46:23] 、教事人口、競技人口が減るつうことに
[00:46:26] 対してですね、ま、ま、都談、前動段階で
[00:46:31] お話はこれから持つなの、持つのかなと私
[00:46:33] も感じております。ま、集約型の
[00:46:38] あのリンク増成そういう活発を踏まえた中
[00:46:41] でただ身近にあって初めて
[00:46:46] 健康同進だとかスケート事業これが本当は
[00:46:50] 昔からの本当にあって当たり前のものでし
[00:46:53] たしこれからもそれが必要だと私は感じて
[00:46:56] んですよ。たどうしても
[00:46:59] あの増成する方だとか協議人口の減ること
[00:47:03] に関してですね、やっぱりこのままじゃ
[00:47:06] どうしても難しいのかなってやるんであれ
[00:47:10] ば縮小するか主役にするのかまその辺を
[00:47:14] 踏まえた中でですね
[00:47:17] スポーツなくすわけいかないんですよ。の
[00:47:19] 場合は、ま、新徳長が本当個別に考え
[00:47:23] たって
[00:47:25] やっぱり冬のスポーツがあって初めてその
[00:47:30] ま、健康は当たり前ですけど、それこそ
[00:47:32] 仲間の繋がり、親子の繋がり、指導者、
[00:47:36] 指導者との繋がり全て関連して街づに関連
[00:47:40] してますんですね。その辺を、ま、本当に
[00:47:46] 残すのであればしっかりと検討したですね
[00:47:49] 、本当は身近なものであってほしいと思っ
[00:47:52] てますんで、この辺を要望いたしまして
[00:47:54] ですね、ま、できる範囲でやってもらい
[00:47:58] たいし、答弁もできる範囲でお願いします
[00:48:01] 。
[00:48:03] 大山社会長、
[00:48:06] [咳払い]
[00:48:07] え、繰り返しの部分にが出てしまうかもしれませんけども、えっと、陸、えっと、合宿ですねにつきましては別にあの陸上が全てだとは考えているわけではありません。え、他の協議が入ってきてそれが受けれ入れ可能でしたら、え、受け入れていきますし、調整が必要な部分は、えっと、調整もしてまいりますけども、えっと、としてコントロールできない部分はあります。
[00:48:33] はい。そ、それとですね、えっと、
[00:48:37] スケートの増税ですね。これはも繰り返し
[00:48:40] になりますけども、えっと、今の受けて
[00:48:45] いる住宅していただいてる業者さんにつき
[00:48:49] ましては、えっと、今んところその
[00:48:52] 、ま、大変な思いをして増成していただい
[00:48:55] てるとは思うんですけども、え、その人数
[00:48:59] 的な部分、会社的な部分では、えっと、
[00:49:02] 大変だというところはまだ話は聞いては
[00:49:05] おりませんけども、そういったところも
[00:49:06] ですね、1度聞いてみたいと思います。
[00:49:10] それと、あの、競技人口、ま、こ、ま、
[00:49:12] メインの利用はどうしても子供になります
[00:49:15] ので、ま、少子家で競技人口を減ってい
[00:49:19] くっていうのは、ま、ある意味やえない
[00:49:22] ところはあるとは思うんですけども、他の
[00:49:25] ところとの集約化となりますと、やっぱり
[00:49:29] 距離数ですとか本当に身近なものでは
[00:49:31] なくなってしまいますので、ここはですね
[00:49:34] 、えっと、できるだけ新調でリンクを作っ
[00:49:38] ていきたいかなという風に
[00:49:40] え、町民のスポーツの進行と、ま、健康の増とかの観点からですね、え、新徳長の方で整備していきたいと考えております。以上です。
[00:49:54] はい。若杉委員
[00:49:58] じゃないんですけども、あの、高木美保さんが国民書を取ったっていうこの年にですね、スケート受給がなくなるっちゅう、こういう報道が流さるちゅうのは本当に北海道地元の人間として本当に情けねえんですよ。その辺踏まえた中でめて新徳長からオリンピック選手が出るような後押しをしてきましてですね、進めていただきたいと思いますので、よろしくお願いいたします。
[00:50:27] 答弁いいですか?
[00:50:29] 答弁いいです。
[00:50:29] いいですか?はい。他にありませんか?
[00:50:37] ここ、ここ。いいよ。いいよ。
[00:50:39] うん。はい。え、次に進みます。え、
[00:50:42] 261ページから263ページまでの11
[00:50:46] 巻交際費、第
[00:50:48] 12巻子出金、第
[00:50:50] [鼻息]13
[00:50:51] 巻予備費で一括してご発言ください。
[00:50:57] ありませんか?これを持って一般会計再出の部を終了たします。残いたします。え、
[00:51:13] 14
[00:51:13] 時までの休憩といたします。休憩の後、委員長席を若杉委員長と交代します。
[00:51:22] はい。
[01:01:00] 休憩を時再開いたします。
[01:01:05] それでは一般会計の最入に入ります。8
[01:01:10] ページより8ページをお開き願います。8
[01:01:13] ページから25ページまでの第1巻税、第
[01:01:18] 2巻地方条税、第3巻自交付金、第4巻
[01:01:26] 配当割付金、第5巻株式等上等所得割付金
[01:01:36] 第6巻法人事業税交付金第7巻地方消費税
[01:01:42] 交付
[01:01:43] 第8巻ゴルフ場利用税交付金第9巻環境
[01:01:49] 性能性能割交付金
[01:01:53] 第10巻地方特例交付金第11巻地方交付
[01:01:59] 税
[01:02:01] 第12巻交通安全対策特別交付金
[01:02:06] 第13巻担
[01:02:09] 金及び負担金第14巻使用量及び手数料
[01:02:15] まで一括してごください。
[01:02:23] 次に進みます。
[01:02:26] 26ページから36ページまでの第15巻
[01:02:32] 国支出金及び第16巻
[01:02:37] 同支出金全般についてご発言ください。
[01:02:46] 次に進みます。
[01:02:49] 37ページから53ページまでの第17巻
[01:02:54] 財産収入第18巻寄付金第19巻く入れ金
[01:03:03] 第20巻繰り越し金
[01:03:08] 巻収入第22巻調査
[01:03:14] の入の終わりまで一括してご発言ください
[01:03:18] 。
[01:03:21] はい、岡村委員。
[01:03:25] え、決算書の45ページから46ページに
[01:03:29] かけてと、えっと、第3に関する長所の4
[01:03:33] ページに関してです。ええ
[01:03:39] 、貸質の癌収入のとこですけども、え、
[01:03:42] これらにおいては、ま、ま、民費、衛生費
[01:03:45] 、労働費、農林水産業費、商候費、教育
[01:03:48] 福祉費のそれぞれ貸し付金の召喚金が計上
[01:03:51] されてございます。ま、これらの債権の
[01:03:53] 状況として財産に関する徴収の4ページ
[01:03:56] 上談に一覧で、え、掲載されているなと
[01:03:59] いう風に思ってございます。え、これらの
[01:04:02] 貸し付け先のうち法賃と事業者に関する
[01:04:05] ものについては万が一にも焦げ月き当が
[01:04:08] ないよう定期的に経営状況について確認さ
[01:04:11] れていると思います。これらの貸し付け先
[01:04:14] の状況については例えば健全経に努力され
[01:04:17] ているとか、え、業績であるとか、え、町
[01:04:20] として一定の評価をした上で貸し付けを
[01:04:22] 継続されていると思いますし、万が一経状
[01:04:26] が良くない場合は、えっと、銀行等の場合
[01:04:28] であれば資金が貸し付けている場合は、
[01:04:31] えっと、経改善支援を、え、と、ま、銀行
[01:04:34] 等と同じように間違が行わなければなら
[01:04:36] ないと思います。え、貸し付け先の経営
[01:04:39] 状況の確認についてですね、え、例えば、
[01:04:42] え、毎年財務所表の提出を義務付けして
[01:04:45] いるとか、え、毎年経営状況について
[01:04:48] ヒアリングを行ってるなどはあると思い
[01:04:50] ますけども、えっと、そうですね、ま、
[01:04:52] 入学資金とはちょっと別なんで、おそらく
[01:04:55] この農林化のと春規収納支援資金から、
[01:04:59] えっと、保険医療福祉資金までのおそらく
[01:05:02] 、えっと、事業者に対に貸し付けだと思う
[01:05:05] んですけども、これの状況に
[01:05:07] ついて、ま、具体的にどのような確認をされているのか、えっと、お聞いたします。ちょ、ちょっと
[01:05:12] [咳払い]
[01:05:21] 残次休憩いたします。
[01:05:42] 休憩を再開いたします。東川農林課長。
[01:05:47] え、奥村委員の質問にお答えしてます。
[01:05:49] えっと、私の方からはですね、農業関係
[01:05:51] ですね、え、新規収納支援付金、えっと、
[01:05:55] 新徳力への貸出金、え、都括得バイオカへ
[01:06:00] のですね、資金へのですね、え、について
[01:06:05] 答弁させていただきます。え、この3式に
[01:06:07] ついて、え、基本的には契約に基づいて
[01:06:10] 貸してるものであり、え、その契約項の中
[01:06:13] で毎年その各のですね、貸し付け先の、え
[01:06:18] 、状況にか、状況について確認するだとか
[01:06:21] 、財務指標について提出しれといった、
[01:06:23] そういう契約はしてないところであります
[01:06:25] ので、基本的には、え、そういった毎年の
[01:06:29] 経営チェックというのはないかなと思って
[01:06:31] ますが、ただ個別的、個別案件的に、えっ
[01:06:35] と、
[01:06:36] ま、浸透、あ、ミルクと都価値、え、新徳バイオガスについては、え、関係機関、え、農業と長、あと金融入機関の中で、えっと、経営状況の確信、確認っていうのはしてるものであります。以上であります。ク野保険福祉課長。
[01:06:54] はい。え、お答えします。私の方からあの保険医療福祉資金召喚金の方をご説明いたします。
[01:07:00] え、こちらの方、あの、2事業者に貸して
[01:07:02] おりまして、え、1つは、え、株式会社
[01:07:05] ピークス、え、心こと事業所になります。
[01:07:08] え、もう1つが地域密着型特用老人ホーム
[01:07:12] の、え、広根になります。え、両、両法人
[01:07:16] とも、え、毎年決算書をいただいており
[01:07:18] まして、え、経営状況を確認しております
[01:07:21] 。
[01:07:21] え、確認した中では、え、経営状況は良行で、え、今年度も、え、昨年度もそうですけども、え、召喚機の方はきちんと払われるという風に確認しております。以上であります。ありまし、
[01:07:40] ちょっと残休憩、
[01:07:42] 残休憩いたします。
[01:07:43] 商のやつはいらない。貸付けではない。
[01:07:47] [咳払い]
[01:07:50] いらない。
[01:07:51] では貸し付けじゃないような気がした。
[01:07:53] あ、分かりました。終わりに
[01:07:55] すいません。
[01:07:57] 休憩再解いたします。
[01:08:00] はい。岡村委員。
[01:08:03] え、ご答弁ありがとうございました。
[01:08:05] え、ま、貸し付け金っていうのは返して
[01:08:09] いただいてやっと、えっと、やろうという
[01:08:11] ことで、あの、これ焦げきっていうのあっ
[01:08:13] たら非常にあの結果元が税金になっちゃい
[01:08:16] ますんで、非常に大変なことになるという
[01:08:18] こともありますんで、やっぱりあらかじめ
[01:08:20] 、あらかじめのあの、ま、予防策と言い
[01:08:23] ますか、そういうのが必要になるかなと
[01:08:25] いう風に思いますんで、今回改めて、え、
[01:08:27] 質問させていただきました。
[01:08:29] ま、聞いたところでは、ま、それぞれ確認をされているということなので、え、ちょっとあの、安心と言いますか、あの、今後も続けていただいてですね、あの、こうつきとがくれぐれもないように、え、よろしくお願いして、えっと、終わりたいと思います。以上です。あ、答弁せん。
[01:08:45] はい。他にありませんか?え、これを持って一般会計を終わります。
[01:08:58] え、次に特別会計の審査に入ります。
[01:09:02] 265ページをお開き願います。
[01:09:07] 国民健康保険事業特別会計
[01:09:12] 265ページから286ページ
[01:09:18] 終わりまでの歳入歳出についてごください
[01:09:22] 。
[01:09:29] え、これを持って国民健康保険事業特別
[01:09:32] 会計を終わります。
[01:09:35] 次に進みます。
[01:09:38] 後期高齢者医療特別会計287ページから
[01:09:44] 298ページ終わりまでの歳入歳出全般に
[01:09:49] ついてご発言ください。
[01:09:54] え、これを持って後期高齢者医療特別会計
[01:09:58] を終わります。
[01:10:00] 次に進みます。
[01:10:03] 介護保険特別会計299ページから324
[01:10:09] ページ終わりまでの最入歳出についてご
[01:10:14] 発言ください。
[01:10:19] え、これを持って介護保険特別会計を
[01:10:22] 終わります。
[01:10:26] え、以上を持ちまして一般会計特別会計と
[01:10:30] も審査を終わりますが、ここで全般を通じ
[01:10:35] てもし発言漏れがありましたらこの際お
[01:10:38] 受けいたします。
[01:10:41] はい。初山委員。
[01:10:44] はい。え、先ほどちょっと、え、質問の
[01:10:47] 仕方が間違ったというか、え、取り残して
[01:10:50] ありましたので、え、ちょっと質問させて
[01:10:52] ください。170、え、支出のですね、
[01:10:56] 172ページの環境整備事業補助金、え、
[01:11:01] 先ほど福原委員からもちょっと、え、質問
[01:11:04] がありましたけれども、この事業は
[01:11:06] なかなか人気があってですね、ま、当初、
[01:11:10] え、2100万円の
[01:11:13] 金額ということで決算では
[01:11:15] 22560万6943円
[01:11:20] ということで、ま、途中で、え、追加って
[01:11:23] いうか補正をしているということで人気が
[01:11:26] あるのかなと思っております。え、それで
[01:11:29] ですね、その当初の2100万円を、ま、
[01:11:33] 決めた時というか、ま、きっともって
[01:11:35] 取りまとめとかいろんなこと要望とかが
[01:11:38] あって2100万円に決めたと思うんです
[01:11:41] が、どのような方法で、え、2100万円
[01:11:46] の根拠
[01:11:48] だったのかちょっと教えて欲しいのと、
[01:11:52] あと補正する時の関係なんですけど、ま、
[01:11:55] 補正
[01:11:57] する場合としない
[01:11:58] 場合と色々あるかなと思うんですが、もし増額補正をするという時はどんな理由でやってるのかちょっと教えていただきたいなと思います。
[01:12:09] 東川農林科長
[01:12:11] はい。え、松山委員の質問にお答えをいたします。えっと、まず予算のですね、えっと、要求の形状の考え方ですけれども、えっと、可能な範囲で関係者への聞き取りを行いまして、それによって予算計上をしております。
[01:12:26] あと補正のですね、考え方ですが、えっと
[01:12:30] 年度開けてもちろんその後、えっと申請と
[01:12:33] いうか要望というか上がってくることが
[01:12:35] ありますので、え、その、え、時期という
[01:12:38] かタイミング、あとその後期あと予算規模
[01:12:41] を総合的に判断しながら、え、補正対応し
[01:12:44] てるところであります。以上であります。
[01:12:47] 初山委員はえ、ありがとうございます。
[01:12:52] えっとですね、今年ちょっと僕が体験した
[01:12:54] 関係でちょっと不思議に思ったことがあっ
[01:12:57] たので、これもちょっと1つ確認したいん
[01:12:59] ですけど、ま、8年度の、ま、ちょっと
[01:13:01] 決算に関係ないかもしれないですけど、
[01:13:03] この事業は9年度まで、え、実際的には
[01:13:06] あるので、ま、9年度の予算、え、作成も
[01:13:11] これから、え、近いうちに始まるのかなて
[01:13:14] いうのがあってですね、ま、あの、4月の
[01:13:17] 、え、中旬頃ですね、え、私のところに、
[01:13:20] あの、
[01:13:22] 授業に持し込みたいんだけど、ちょっと、
[01:13:25] え、聞いて、聞いてきてくれないかなって
[01:13:27] いう方がいてですね、ま、担当の部署に
[01:13:31] 行って伺ったらですね、ま、新年度始まっ
[01:13:33] たばかりなんで、ま、今、あの、当初から
[01:13:36] 計画してる分で目一杯ですと。いや、もし
[01:13:39] 、補正をやるとしても、今の時期じゃなく
[01:13:42] て、え、遅い時期、ま、遅い時期っていう
[01:13:45] のは9月の議会なのか12月議会なのかは
[01:13:49] ちょっと確認はしなかったんですけど、ま
[01:13:51] 、そういう形で説明を受けたので、ま、
[01:13:54] その問い合わせいただいた方にはそういう
[01:13:57] 説明をいたしました。で、5月の中旬に
[01:14:01] なってからですね、もう1件違うところ
[01:14:04] からあの問い合わせがあって再度、え、
[01:14:08] 担当の係りに行ったらですね、ま、6月の
[01:14:11] 議会でも補正が、え、を決めてもう
[01:14:15] 取りまとめは終わりましたというような
[01:14:18] 言い方をされました。え、4月に僕が相談
[01:14:21] してるやつうわ、あのどうなりました
[01:14:24] かって確認も何もなかったです。あの、僕
[01:14:27] がそういう体験をしてるっていうことは他
[01:14:29] の町民に対してもそういう説明をしてるん
[01:14:32] じゃないかなとちょっと危具するもんです
[01:14:34] から、ま、あの、人気のある事業であり
[01:14:38] ますので、え、その辺、え、町民の声って
[01:14:42] いうか、ま、申し込み見たい人がいれば
[01:14:45] ですね、え、親切丁寧にですね、ま、相談
[01:14:48] ごとに乗っていただきたいなと思うんです
[01:14:50] が、え、将来に向けてどういうような対応
[01:14:54] になるか、え、教らせください。
[01:14:58] 東川農林課長。
[01:15:01] はい。え、初山委員の質問にお答えをいたします。
[01:15:04] ま、町民の意見を聞いて漏れることのない
[01:15:08] ように全て公平構成に判断の上、え、授業
[01:15:11] を進めてくれ、要望、あ、採択してくれと
[01:15:14] いうことだと思いますので、えっと、
[01:15:16] 改めての答弁になりますけれども、えっと
[01:15:20] 、ま、新年度の予算に向けては改めて関係
[01:15:24] 機関、関係者の声を聞くというとともこと
[01:15:27] がまず1点ですね。あと、ま、その予算
[01:15:30] 規模とか事情内容とか先ほども言いました
[01:15:32] けどタイミングにもよりますけども補正
[01:15:34] っていうのはその時点その時点で行うこと
[01:15:38] となります。ま、それもですね、今委員
[01:15:40] からあったような意見も踏まえまして、え
[01:15:43] 、取りこぼれ、取りこぼしのようにですね
[01:15:47] 、えっと、やっていきたいと思いますので
[01:15:49] 、え、その辺留意しながら進めてまいり
[01:15:52] たいと思います。以上であります。
[01:15:55] はい。他にありませんか?これを持って審査を終わります。え、それでは本件について採決に入りますが採決に入る前に討論はありませんか?ないようですので。
[01:16:23] え、それではこれより認定第1号令和7
[01:16:29] 年度新徳長各会計歳入歳出決算認定につい
[01:16:34] て採決いたします。
[01:16:38] 本件についてはこれを認定することに賛成
[01:16:41] の委員の挙を求めます。
[01:16:49] 挙師全員であります。
[01:16:52] よって本件についてこれを認定することに決しました。
[01:17:00] え、異を持って本委員会に付託されました案件審査が終わりました。よって
[01:17:07] 令和7
[01:17:08] 年度新得庁各会計入出決算特別委員会を解いたします。
[01:17:17] え、引き続き
[01:17:19] ただ今から令和7年度新徳長水道事業会計
[01:17:25] 決算特別委員会を開会いたします。直ちに
[01:17:29] 会議を開きます。え、それでは本委員会に
[01:17:33] 付託されました認定第2号令和7年度新徳
[01:17:39] 長水道事業会計決算認定について議題と
[01:17:44] いたします。
[01:17:46] お諮りいたします。本件の内容審査に入る
[01:17:50] 前に本決算書の提出者から決算報告書事業
[01:17:56] 報告書並び付属
