# source: https://www.youtube.com/watch?v=aBHABXJ8-tA
# video_id: aBHABXJ8-tA
# fetched: 2026-09-23T11:57:22.026Z
# segments: 1777

[00:00:45] 行います。
[00:33:07] やってっていただけたらなという風に思い
[00:33:09] ます。それから、えっと、公共施設の方
[00:33:12] ですけれども、こちらは、えっと、令和4
[00:33:15] 年は、え、33ん3万5000円
[00:33:23] 。それから令和5年が、え、
[00:33:25] 140万8000円
[00:33:27] で令和6年が198万円という風に決算で
[00:33:32] 数字が出ておりました。で、令和7年、
[00:33:35] 今回も198万円。それから来年度の予算
[00:33:39] 令和8、あ、来年度じゃない、ごめん
[00:33:41] なさい。今年度令和8年の予算を見ますと
[00:33:45] 1989万円という風になっております。
[00:33:48] 当初令和4年頃には38万円ぐらいだった
[00:33:51] のが今このような金額でちょっと上がって
[00:33:53] きているのかなというところが、え、あり
[00:33:57] ますけれども、この辺これからも今後この
[00:34:00] ようなものがえっとずっと続けていくのか
[00:34:02] どうかですね。えっと、それで、え、私は
[00:34:06] これ、あの新徳町内の全ての公共施設を
[00:34:08] 全て一括でこうやるものなのかなっていう
[00:34:11] 風には思ってたんですが、今回今聞きまし
[00:34:14] たら東大切と、ま、役場庁という話だった
[00:34:17] ので、ま、2件に対してこういう基礎的な
[00:34:21] データが出たのかなっていうことであると
[00:34:23] 、この198万円という値段が妥当なのか
[00:34:26] どうかっていうところもあるんですが、
[00:34:28] その辺、え、お答えお願いいたします。
[00:34:34] 地域戦略出長
[00:34:37] はい。本委員のご質問にお答えをいたします。あの、ま、ふれな方がいるのではないかということで、あの、その指摘、え、十分、え、承知しておりますので、引き続き、あの、いろんな形でですね、候補から
[00:34:48] PR
[00:34:49] の方させていただきたいと思います。で、合わせて、あの、ま、えっと、スマホもですね、例えばご利用慣れてない方もいらっしゃると思いますので、そういった部分も含めて何かしらのこう対策というのは取っていきたいという風に考えております。
[00:35:02] それから、あの、LINEの取り組みと
[00:35:04] いうことでご提案をいただきました。現在
[00:35:06] 、あの、DX推進がこの4月に立ち上がり
[00:35:09] まして、今、え、DX推進計画の方策定を
[00:35:11] 進めております。え、その中でもやはり
[00:35:13] こういったLINEを作った、え、使った
[00:35:15] 取り組みというのは、え、いろんな方から
[00:35:17] ご要望いただいておりますので、そちらの
[00:35:19] 導入につきましても、え、検討を進めて
[00:35:22] まいりたいという風に考えております。
[00:35:23] 依前にしましても、こう、ま、誰も
[00:35:25] 取り残さないというか、あの、必ず伝わる
[00:35:27] ような形のシステムというのを、え、考え
[00:35:29] ていきたいという風に考えております。
[00:35:31] 以上です。
[00:35:32] [鼻息]
[00:35:37] お井
[00:35:37] 総務課長補佐は森員のご質問にお答えいたします。え、委託量の、え、金額の関係であるかなと思っております。まず、え、先ほど森本委員が、え、ご認識されていたその全施設を対象というわけではなくて、え、この、え、計画につき、あの、この
[00:35:55] 業務につきましては、え、施設を選別して実施をしております。
[00:36:00] この、え、調査を実施する目的の中にです
[00:36:02] ね、やはりこの今後施設、先ほどもあり
[00:36:05] ました通り施設を長期的に、え、維持管理
[00:36:08] していく上でどのような、ええ、検討を
[00:36:10] 進めていくかという基礎資料となるもので
[00:36:12] ございますので、え、今後もこの事業に
[00:36:14] つきましては、え、進めてまいりたいと
[00:36:16] 思っております。また金額につきましては
[00:36:18] 、え、調査の内容と、え、あの、検討
[00:36:21] いたしまして、え、金額を、え、算出させ
[00:36:24] ていただいておりますので、え、ご理解
[00:36:26] いただければと思っております。以上で
[00:36:28] ございます。
[00:36:31] ですか?他にありませんか?桜大臣。はい。
[00:36:39] えっと、は1項目、え、93ページ、え、
[00:36:44] 地域協力活動事業費ということで、あの、
[00:36:46] 毎回、え、元協力隊員ということで、あの
[00:36:49] 、ここがちょっと気になるところで毎回
[00:36:51] 質問させていただいてるんですが、えっと
[00:36:53] 、ま、地域起こし協力単員が、ま、1名に
[00:36:58] 、え、なったということで、こう、えっと
[00:37:00] 、ま、全国的なですね、あの、単員数って
[00:37:03] いうのは、えっと、今のところ、えっと、
[00:37:05] 過去最多を記録しておりまして、ま、全国
[00:37:08] の単因数というのはもう8000人規模に
[00:37:10] 拡大しております。で、え、ま、受け入れ
[00:37:13] 自治体も、え、全体の8割、ま、約
[00:37:15] 1100自治体に、え、達しています。で
[00:37:20] 、希望者に対して、ま、募集枠がもう過剰
[00:37:23] になっておりまして、ま、もう集まる自治
[00:37:25] 体と集まらない自治体っていうのがもう
[00:37:27] 完全に2局化している状態っていうことに
[00:37:30] 今、え、地域起こし協力隊はなっています
[00:37:32] 。で、集まっている自治体はですね、もう
[00:37:35] とんでもない人数こう町として受け入れ
[00:37:38] たりとかもしていまして、え、すごい人数
[00:37:40] がいる市町村もございます。で、その中で
[00:37:43] やっぱりこう新徳長も地域起こし協力体
[00:37:45] っていう制度を利用してですね、ま、
[00:37:47] 待ち起こしをしていただきたいという
[00:37:50] 気持ちがありますので、ま、その人数を
[00:37:52] ちょっとどうしても増やしたいなとは思っ
[00:37:54] ているんですが、ま、現状、現状ですね、
[00:37:56] あの、長としては、え、地域協力体、ま、
[00:38:00] これをどう思ってるのかちょっとお聞かせ
[00:38:01] ていただきたいなと思います。
[00:38:05] 我地域戦略出長。
[00:38:10] はい。桜で委員のご質問にお答えをいたします。あの地域起協力のま、最近の状況ですけども、え、令
[00:38:16] 7
[00:38:16] 年度末にあの委員ご指摘の通り、え、現役隊員が
[00:38:20] 1名となってございます。
[00:38:22] で、この間の取り組みとしましては、えっ
[00:38:24] と、合計、え、78名の方を、ま、実記
[00:38:28] 協力隊として任務いたしまして、え、人気
[00:38:30] 満了された方が24名、え、途中で再認さ
[00:38:33] れた方が、え、53名となっております。
[00:38:38] で、ま、最近の状況につきましては、あの
[00:38:39] 、委員ご指摘の通り、今、え、本庁の人数
[00:38:42] を募集をしてるとこですけども、え、
[00:38:44] なかなか応募が来ないという状況でござい
[00:38:46] ます。で、取り組みとしまして、あの、え
[00:38:49] 、各種、え、そういったPRの機会を捉え
[00:38:52] ては、あの、協力体の募集をしてますと
[00:38:53] いうことをしているのと、え、今年もです
[00:38:56] ね、また、あの、東京の方に行きまして
[00:38:58] 協力隊の募集のPRを行う予定でござい
[00:39:01] ますけども、え、なかなかこう全国で、え
[00:39:03] 、募集をしている中で、ま、にご来て
[00:39:06] いただける方が今、え、少ないというのが
[00:39:08] 現状でございます。はい、以上です。
[00:39:12] [鼻息]
[00:39:14] 桜大臣
[00:39:16] はい。ありがとうございます。えっと、ま
[00:39:19] 、どうなんですかね。あの、こう、横並び
[00:39:22] で同じようなあの、募集要だとこう
[00:39:26] なかなか本当に来ないっていう状況がこう
[00:39:28] いろんな自治体あの苦しんでいるとのこと
[00:39:32] なんですけど、やっぱり来てるところは
[00:39:34] 大胆なこう、え、こんなに高いのっていう
[00:39:37] ような、えっと、こうお給料受け流って
[00:39:40] 言ったらいいのかはい。あの、お金もらっ
[00:39:42] てたりとかですね。こう自分のこう、えっ
[00:39:45] と、企業とか副業の自由度っていうのも今
[00:39:48] かなりえっとも、え、こう重視されてい
[00:39:51] るっていうことでやっぱりこう協力体が
[00:39:54] 終わった後のこの起業する仕組みだったり
[00:39:56] とか、ま、途中のこのやってる間のこう
[00:39:59] 副業の、え、やり方だったりとか、こう
[00:40:02] 明確なこうキャリア形成的な視点でもう見
[00:40:06] てる方がたくさんいらっしゃ
[00:40:07] るっていうことなので、ま、よりこう行政
[00:40:11] としてもですね、え、協力単員とえ、協力
[00:40:14] して一緒にですね、え、盛り上げていって
[00:40:18] 欲しいところでありますので、ま、できれ
[00:40:21] ばあの要望としてはもうちょっとこう募集
[00:40:24] 要綱を拡充してですね、あの、ま、え、
[00:40:27] 金額を上げるなりなんなりこうあのもっと
[00:40:31] こう来やすいような環境作りっていうもの
[00:40:34] をこうやっていって欲しいと思いますので
[00:40:36] 、是非よろしくお願いいたします。
[00:40:41] 香谷地域戦略出長
[00:40:44] はい。お答えをいたします。あの、非常に多分、あの、ま、魅力的な、え、制度をこう作ればあの、ま、来るんでないかということなんですけども、なかなかその、えっと、既存の対の方々、これまでの方々とのバランスもありますし、あの、ま、町のバランスもありますので、ま、その中で判断をさせていただきたいという風に思っております。
[00:41:01] また、あの、ま、あの、大胆なことをこう
[00:41:03] すればということなんですけども、まずは
[00:41:05] 、あの、やっぱり、ま、まず新徳長にこう
[00:41:07] 例えば興味を持ってもらうとか、新徳長の
[00:41:09] ために行きたいんだっていう、ま、そう
[00:41:11] いった、あの、ま、物語と言いますか、
[00:41:13] そういったストーリーも大事かなという風
[00:41:14] に思っておりますので、まだこう、ま、
[00:41:16] 新徳省のファンになっていただけるような
[00:41:18] 取り組みっていうのも、え、地道に続けて
[00:41:21] いきたいという風に考えております。以上
[00:41:22] です。[鼻息]
[00:41:28] 他にありませんか?中村委員。
[00:41:34] はい。え、2点お伺いたします。まずは
[00:41:37] 81
[00:41:37] ページの駅実施設計と、え、次がですね、
[00:41:42] 105ページから107
[00:41:44] ページの選挙ポスター刑示バス設置の委託量に関してです。えっと、まずは道の駅の自席量ということで、ま、あの、味民の方もかなり関心かと思います。
[00:41:55] え、今、ま、どの辺りまで進んでいるかと
[00:41:58] いうのをお伺いいたします。あの、面積は
[00:42:00] 減っているというお話でしたが、ま、実際
[00:42:03] どのぐらい今後お客さんが入ってきて、
[00:42:05] そのお客さんをさけるかどうか、ま、また
[00:42:09] はですね、えっと、ま、ま、トイレ、1番
[00:42:14] 怖いのはトイレとコーヒーだけで通過型の
[00:42:16] 道の駅になってしまう。そういったところ
[00:42:18] 非常に、え、ま、懸念されるところであり
[00:42:20] ます。お客さんの同線とかまずはお金を
[00:42:23] 設ける場所をしっかりと作っていく。あの
[00:42:27] 、ま、そういったところ、ま、見た目とか
[00:42:28] そういったもの、ま、そういったところが
[00:42:30] 重要かなと思っておりますんで、ま、今
[00:42:32] どんな感じで進んでいるかお伺いいたし
[00:42:34] ます。あとも次ですね、え、選挙ポスター
[00:42:37] の刑事設置委託量なんですけれども、え、
[00:42:40] 昨年度ちょ長線では121万、え、議員線
[00:42:44] では187万円が、え、計上されており
[00:42:47] ますが、ま、この3出根拠ですね、ま、
[00:42:52] どの、え、ま、何を持ってこの値段かと
[00:42:55] いうのところをお伺いいたします。
[00:43:04] 本号地域戦略出長補佐
[00:43:08] はい。え、私の方からは、え、
[00:43:10] 1
[00:43:10] 点目の道の駅の実設計の、え、件について、え、お答えさせていただきます。はい。え、道の駅の、え、整備の実施設計なんですが、え、こちらと令和
[00:43:19] 7年の、え、9月の12
[00:43:20] 日に、え、契約の方いいたしまして、え、
[00:43:23] 2年、えっと、令和9年9
[00:43:24] 月の末までという間で、え、設計を続けていくという形を取っております。はい。
[00:43:30] この間なんですけども、えっと、
[00:43:34] [咳払い]
[00:43:34] 運営会社になる予定の、え、事業所、
[00:43:37] そちらの方も、え、中に入っていただき
[00:43:39] まして、えっと、運営と、え、設計、ま、
[00:43:42] えっと、一体となりましてどのような、
[00:43:43] えせえ、施設の形がいいのか、そういった
[00:43:46] ところを、え、議論しているところで
[00:43:48] ございます。え、面積の方ですが、えっと
[00:43:50] 、今、え、当初の部分から、え、削減の方
[00:43:54] いたしまして、え、約下のは1260平米
[00:43:57] ということで、え、整理しているところで
[00:44:00] ございます。ま、ただこちらまだ実計の
[00:44:02] 途中というところですので、これからまだ
[00:44:05] 、え、流動的な部分ございます。え、色々
[00:44:07] と、ま、え、昨の情勢含めまして事業費と
[00:44:11] 、え、勘案しながら、え、大きさと、え、
[00:44:14] 事業費のそのバランスを取りながら進めて
[00:44:16] いくことが必要かと考えておりますので、
[00:44:18] え、今後とも、え、実施設計の事業者、え
[00:44:22] 、運営の事業者、え、それぞれと、え、話
[00:44:25] をしながら、え、設権の方を進めていき
[00:44:27] たいと考えております。で、また、え、中
[00:44:30] に、え、入っていただく取り組みが、えっ
[00:44:33] と、必要だという話だったかなと思うん
[00:44:35] ですけども、え、委員ってる通り、え、
[00:44:37] こちらは道の駅ゲートウェイ型という方で
[00:44:40] 形で、え、か設権の方進めているところ
[00:44:43] です。そこで終わるだけではなく、ま、
[00:44:46] そこでも、ま、お金を使っていただくん
[00:44:48] ですけども、え、その後に新徳の中の方に
[00:44:50] も入ってきていただいて、また街の中でも
[00:44:53] 、え、色々と、ま、え、経済活動して
[00:44:56] いただくと、そういった部分のこと考えて
[00:44:58] おりますので、ま、それもどういった、え
[00:45:01] 、仕組みづければいいのか、え、運営会社
[00:45:02] も含めて、え、話をしていきたいなと考え
[00:45:04] ております。以上です。
[00:45:09] 聖の総務課補佐
[00:45:13] は。え、私の方からポスター掲示上の設置
[00:45:15] についてご説明したいと思います。え、
[00:45:18] ポスター、え、刑事上の設置委託量につき
[00:45:21] ましては、え、ポスター刑事の看板の作成
[00:45:23] を含めて委託をしているところであります
[00:45:26] 。え、またこの金額につきましては、え、
[00:45:29] 立候法予定者数の数によりまして、え、
[00:45:32] 刑事面積の大きさが決まりますので、それ
[00:45:35] によって、え、金額が変わってくるところ
[00:45:37] であります。
[00:45:39] え、また、え、それらの大きさに合わせまして、え、現在ですね、え、刑事箇所については
[00:45:44] 37
[00:45:44] 箇所っていう形で町の方で規定しておりまして、それらの必要個数の分を委託量としてお支払いしてるところであります。以上であります。
[00:45:55] 中村委員。
[00:45:57] はい、ありがとうございます。えっと、密
[00:45:59] の駅に関してなんですけども、あの、先日
[00:46:02] 観光協会でも大切を広域連携という形で、
[00:46:06] えっと、ワークショップ、地域の、ま、
[00:46:08] 価値を喪失するって形でワークショップを
[00:46:10] 行ってたりとか、ま、そういったところ
[00:46:13] かなり今動いてるのかなと思います。で、
[00:46:15] ま、道の駅私は勝ち筋はあるとは思うん
[00:46:19] ですね。ま、新徳で降りて新徳鹿井上
[00:46:22] そっち方向に走っていただく。ま、最後は
[00:46:25] 帯広を通ってそのまま帰っていただくと。
[00:46:28] すと帰り道に新徳でまたお土産を買って
[00:46:30] 帰るという、ま、海油がうまく作れるので
[00:46:32] はないかなと思っております。ただ、ま、
[00:46:34] あの、しっかりとニーズは把握しないと
[00:46:37] [咳払い]先ほどもそうすとほとトイレで
[00:46:39] 終わってしまうっていうところで、
[00:46:40] やっぱりその設計非常に大事だと思って
[00:46:42] まして、ちょっと、ま、あの、違うところ
[00:46:44] なので、あの、例に出して申し訳ないん
[00:46:46] ですけど、例えば特、あの、非常に横長で
[00:46:49] なかなか苦労して設計されたと思うんです
[00:46:51] けれども、えっと、ちょっと同線が非常に
[00:46:53] 悪くて、例えば入った時に、ま、かなり
[00:46:56] 売れ筋の飲み物が見えないとか、えっと、
[00:46:59] 喫茶店の正面がですね、物があって椅子が
[00:47:02] ない。これ正面に座ないと要するにその
[00:47:06] 喫茶店がお客さんが座る場所にそ歩を向い
[00:47:09] てしまってる形なんですよね。非常にま、
[00:47:12] こういったところであの人の動きというの
[00:47:14] がま、抑制されてしまったりとか本当
[00:47:17] 細かいところなんですけれども、ま、あと
[00:47:19] は壁面を有効に使うとか密度を上げるそう
[00:47:22] いったところを細かいところで、え、売上
[00:47:24] 等々、ま、そういったところ上げられるの
[00:47:26] かなと思います。なので、ま、そ、あの
[00:47:28] 辺りはしっかりとあの議論していただき
[00:47:31] たいと思います。えっと、ポスター刑事
[00:47:33] 設置に関してなんですけれども、ま、あの
[00:47:36] 、昨年度私も、ま、選挙参加させて
[00:47:38] いただきまして、えっと、ま、え、設置
[00:47:41] 箇所、ま、ここ
[00:47:43] なかなか人もいないけど、ま、どうなのか
[00:47:45] なって思うところも多々あるんですね。で
[00:47:47] もちょっと法的にど、どういうところで
[00:47:50] 設置しなきゃいけないかのちょっと法律的
[00:47:51] なところは分からないんですけれども、
[00:47:53] そういったところをちょっとコストダウン
[00:47:55] したりとかすれば、え、ま、かなりスリム
[00:47:57] になるのかなと思うので、あの、検討お
[00:47:59] 願いいたします。[鼻息]
[00:48:04] 本郷地域戦略出長佐
[00:48:07] はい。えっと、道の駅の部分、えっと、ホの価値数字があるということでごいただきましてありがたいたと考えております。
[00:48:15] え、今、えっと、ご意見いただいた部分、
[00:48:17] [咳払い]え、使いやすい施設、そして、
[00:48:19] え、
[00:48:21] そうですね、あの、引き面の利用であっ
[00:48:24] たりだとか、そういった部分も、え、今後
[00:48:26] 、え、また継続して、え、運営業者とも
[00:48:29] 含めて話を進めていきたいと思いますので
[00:48:31] 、はい。で、また、え、議員の皆様にも、
[00:48:34] え、ことあることに、え、お話をさせて
[00:48:37] いただいて検討状況の法等をお伝えていき
[00:48:39] たいなと思っておりますので、よろしくお
[00:48:41] 願いいたします。
[00:48:44] 例の総務課長補佐
[00:48:48] はい。え、ポスター刑事上の設置箇所でありますけども、え、ま、基本的には、ま、腸内の全域に広く設置して民の方に、え、広く見ていただくことが大事なのかなという風に思っております。え、その上で、え、設置所につきましてはですね、選挙管理委員会の方で審議しながら決定しておりますので、ご理解いただきたいなと思います。
[00:49:12] よろしいですか?他にありませんか?よいしょ。こらしてここに。え、ここで残次休憩いたします。
[00:49:43] あ、休憩しちゃったんで、え、
[00:49:50] 11
[00:49:51] 時からといたしますのでよろしくお願いいたします。
[00:50:03] え、
[00:50:07] やば、
[00:50:09] あの、休憩です。
[00:50:11] 休憩です。
[00:50:14] これで残休憩してうん。交換。
[00:50:17] ああ、そうだよね。すか、
[00:50:23] もう終わっちゃったんで。
[00:50:24] 終っちゃったな。
[00:50:29] ここで
[00:50:32] 他にありませんからなけなかったら
[00:50:34] うん。
[00:50:34] これで
[00:50:36] これ表終了いたします。
[00:50:38] でしょ。そ
[00:50:39] して残で3時休憩いたします。そして
[00:50:42] 11
[00:50:43] 時あいたしまして休憩の後委長席を岡村委員長岡村副員長と交代します
[00:50:51] だよね。
[00:50:53] 書いちゃったからわからんかった。
[00:50:56] さ、どうすまず?
[00:50:57] えそう。
[01:00:43] え、休憩を解き再開いたします。
[01:00:46] え、引き続き議会費及び総務費についてご質問ありませんか?
[01:00:54] え、なければ次に進みます。
[01:00:57] 111ページから137ページまでの第
[01:01:02] 3
[01:01:02] 巻民費全般についてご発言ください。斎藤委。
[01:01:11] はい。えっと、ページが110
[01:01:13] ページ。あ、ごめんなさい。申し訳ないです。すいません。え、
[01:01:22] 112
[01:01:23] ページです。え、中段下になります。え、経ですね。
[01:01:32] え、168万円
[01:01:33] っていうことなんですけども、あの、以前
[01:01:37] 今監査の席に座られてる青ナ委員も
[01:01:40] おっしゃってたことあるんですけども、え
[01:01:43] 、高齢者への、え、軽なんですけども、今
[01:01:47] の現状80歳、え、88歳で12歳飛んで
[01:01:53] 100歳ということで、え、80歳57名
[01:01:57] ですね。88歳で53名。え、100歳で
[01:02:02] 1名ということで今回支給されております
[01:02:06] 。で、あの、こちらの金額の設定なんです
[01:02:09] けども、え、いつ頃からこの金額という
[01:02:13] ことで、え、決められていたのか、その辺
[01:02:16] まずお伺いいたします。
[01:02:23] 桑野保険福祉課長、え、お答えいたします
[01:02:27] 。え、軽量金ですけども、え、他の老を
[01:02:30] 願い長寿を祝福し、え、腸内全体の経路
[01:02:34] 意識を雇用図ることを目的に、え、軽減を
[01:02:38] 支給しております。え、制度時態ですけど
[01:02:40] も昭和45年から開始をしております。え
[01:02:44] 、その後3回ほど見直しをしまして、え、
[01:02:48] 平成22年の時に現行の額となっており
[01:02:53] ます。その上で平成22年の時の改正です
[01:02:57] けども、え、これが社会の進展の中で、え
[01:03:00] 、一立に出すというのを見直した経過が
[01:03:03] あります。なお、その時、え、減額という
[01:03:07] ことではなく、え、福祉政策全般での活用
[01:03:10] という風に、え、理解をいいたところで
[01:03:13] あります。え、以上であります。[鼻息]
[01:03:20] 斎藤委員
[01:03:22] はい、ありがとうございます。
[01:03:25] えっと、気になるのはですね、え、88歳
[01:03:30] から100歳までこちらの間が12歳と
[01:03:35] いうことで、あ、あの、80から88歳
[01:03:39] までの8歳から、あの、比べますと12歳
[01:03:45] っていうことでかなり子宮までの年齢の幅
[01:03:49] があるように思われるんですよ。それで
[01:03:52] この辺のですね、え、今まであの本庁の
[01:03:55] ために尽力された高齢者のために、え、
[01:03:59] その方々に報いためにもですね、この12
[01:04:03] 歳の間に90歳代の卒のあると思うので、
[01:04:08] この辺でもう1つ子宮の年齢対象ですね、
[01:04:13] 増やすことを今後検討いただきたいなと
[01:04:16] 思うんですけども、その辺のお考えはあり
[01:04:19] ますでしょうか
[01:04:23] 桑野保険福祉課長、
[01:04:26] え、お答えいたします。あの、ま、高齢者
[01:04:30] をの、ま、どを願い、また、え、意識を
[01:04:33] 高めるという点ではやっぱり、ま、都度
[01:04:37] その記念において出すっていうのも方法の
[01:04:39] 1つかと思いますけども、やっぱりこの超
[01:04:43] 高齢社会を迎える中であって、え、財源の
[01:04:47] やっぱりバランス、それから高齢者もそう
[01:04:49] ですけども、福祉政策全般の中で医療で
[01:04:53] あったり子育てであったりと考えた時に、
[01:04:56] ま、えこの時の22年の改正が良かったの
[01:04:59] かどうかということよりも、え、ま、高齢
[01:05:03] 書をねうという気持ちは変わりませんので
[01:05:05] 、基本的には変えるつもりはございません
[01:05:07] 。え、ただ、あの、意見の中で最高例の方
[01:05:11] っていうのは去年、え、ちょっと団体の方
[01:05:14] からいただきまして、毎年最高例の方って
[01:05:16] いうのがいらっしゃるのに1度上げて終わ
[01:05:19] りっていうのはどうなんかっていう意見を
[01:05:20] いただきました。
[01:05:21] え、そちらの方は今年から改正をしまして、え、年度ごとの最高例の方男ですけども、え、毎年出すという風に変えております。以上であります。斎藤委員。
[01:05:35] はい。あの、最高例の方ちょっと改正されるっていうことで、その辺はあの、良かったかなと思います。
[01:05:42] ま、今後、あの、
[01:05:45] 人口減現象そして高齢化に向けてですね、
[01:05:48] まあ5年10年先の話になるんですけども
[01:05:51] 、子宮年齢の見直して必ず出てくると思い
[01:05:54] ますので、そのおりにはあの、考えて
[01:05:57] いただくようによろしくお願いいたします
[01:05:59] 。ありがとうございます。
[01:06:03] か、
[01:06:05] 熊野保険福祉課長
[01:06:08] はい。
[01:06:09] え、現行制度については、え、ちょっと変えませんけども、え、今後あの人口推移が変わってくということがあればその時にはまた見直したいと思います。以上であります。
[01:06:20] 他にありませんか?
[01:06:26] 次に進みます。
[01:06:28] 138ページから159ページまでの第
[01:06:33] 4巻衛生費及び第
[01:06:36] 5
[01:06:36] 巻労働費全般についてご発言ください。桜大員
[01:06:43] はい。えっと149ページの、えっと、秋
[01:06:48] 等活用モデル検証事業補助金の、え、
[01:06:52] 291万880円
[01:06:57] っていうところですね。とこの
[01:07:00] 、え、秋屋、え、秋屋等活用モデル検証、
[01:07:06] え、事業補助金、えっと、これ国交省が
[01:07:09] やってるあの補助金事業だと思うんです
[01:07:12] けど、なんかちょっと国交省のホーム
[01:07:14] ページ見ても全く何やってるかわかんない
[01:07:16] 事業で、えっと、
[01:07:20] うん、このちょっと、え、実績とかですね
[01:07:23] 、内容っていうのをよりちょっと詳しく
[01:07:25] 教えていただきたいなと思いまして、まず
[01:07:27] はそこからお
[01:07:28] お願いいたします。小林課長補佐はい。お答えいたします。
[01:07:41] え、国交省の
[01:07:43] やっているものではなくて、え、短いもの
[01:07:47] なんですけども、当初の目的といたしまし
[01:07:50] て、え、中心地の秋屋や秋店舗を埋める
[01:07:55] ことで、え、賑や人流の確保、また眠っ
[01:08:00] てる資産の有効活用を進めるためにはどう
[01:08:03] したらいいかと、え、いう観点で、え、令
[01:08:06] 和6年度から、え、明治大学の学
[01:08:11] え、が学んでいる知識をもに自由な発想で
[01:08:14] 、え、秋屋や秋店舗の、え、有効活用を
[01:08:18] 目的に、え、就寝市街地の調査の上
[01:08:22] ワークショップの実施、え、また学生から
[01:08:25] の提案をしてきたところであります。え、
[01:08:29] では7年度につきましては、え、北海道
[01:08:32] 秋屋所有者向けに参加し、え、都市部に
[01:08:36] 住む、え、4名の方から、え、新徳町内に
[01:08:40] 、え、住宅土地を持つ方の相談を受け、え
[01:08:45] 、専門家による提案や、え、情報発信など
[01:08:49] 所有者と具体的、え、相談を行うことに
[01:08:53] より、え、流通促進につなげてきており
[01:08:56] ます。以上です。
[01:09:01] 桜大員、
[01:09:02] あ、ありがとうございます。あの、共所のあの事業と違うということで失礼いたしました。あの、一応、ま、令和
[01:09:08] 6
[01:09:08] 年からワークショップやって学生さんから、えっと、秋屋活用の意見を聞いたり、えっと、令和
[01:09:14] 7
[01:09:14] 年度から、あの、前確かにあの、えっと、古川建設さんかなんかの、あの、あれですよね。土地の売買のあの遭難会っていうのをやってたっていうのは確かに記憶がございます。
[01:09:24] で、えっと、ではですね、この秋アモデル検証事業、え、補助金っていうのは、えっと、基本的には、えっと、この令和
[01:09:35] 7
[01:09:35] 年度なんで、あの、相談会にかかった費用ということでよろしいでしょうか?
[01:09:45] 小林課長補佐、
[01:09:49] え、これ、ま、委託事業なんですけども、
[01:09:53] え、
[01:09:56] 町内において、え、秋、秋店店舗相談会を
[01:09:59] 開催し、え、秋に関する法律分野、解体
[01:10:04] リフォームの制度、え、腸の補助、政策の
[01:10:08] 制度、また秋屋の所有者の方の悩みなど、
[01:10:13] え、14名の参加をいただき、え、司法
[01:10:17] 所旨や、え、宅建士が課題解決の支援をし
[01:10:21] たところであります。
[01:10:23] また秋アバンクの
[01:10:26] を目的とした専用ホームページ、え、物価
[01:10:31] を作成し、え、秋ア所有者と物件購入規模
[01:10:37] の悩み、え、相談の解決ツールとして、え
[01:10:41] 、解説したものであります。え、相談会、
[01:10:45] え、に、え、相談した結果として、え、ま
[01:10:50] 、よくわからないだとか、購入者があれば
[01:10:53] 売りたい、え、また、え、相続
[01:10:58] 登期手続きの
[01:11:00] 相談、え、また自身が亡くなった後の、え
[01:11:05] 、住宅についてどのような準備が必要なの
[01:11:08] か、え、などの相談があり、ま、総合的な
[01:11:12] 、え、質問が、
[01:11:13] あ、相談を受けて、え、解決を向けて、え、考えてきたところであります。あ、すいません。あの、委託事表と申し上げましたけども、え、補助金の間違いであります。以上であります。桜大臣、
[01:11:31] 等、ありがとうございます。
[01:11:32] えっと、
[01:11:34] ま、えっと291万円
[01:11:38] がその、えっと、ま、14名参加された
[01:11:41] 相談でこう、ま、補助金として使われたと
[01:11:45] いうことで、えっと、この事業っていうの
[01:11:49] は今後も、えっと、ま、継続というか、
[01:11:53] こう定期的にそういう相談会が行われて
[01:11:55] やっていく事業ということで大丈夫なです
[01:11:59] か?この1発で終わりっていうことでは
[01:12:01] ない。
[01:12:03] っていう、あ、これ3回目かということで
[01:12:05] よろしいでしょうか?ま、一応あの、
[01:12:08] なんて言うんですかね?えっと、秋屋を
[01:12:10] どう活用するかとかっていう話のあの延長
[01:12:15] 戦上だと思うんですけど、えっと専門家の
[01:12:18] 方とかがですね、こういう風に参加して
[01:12:20] 相談会をしてくれるのは大変嬉しいんです
[01:12:22] けど、一発でこう終わっちゃうと続か、
[01:12:25] あの、続きがないと思いますので、ま、
[01:12:27] 今後も継続していくのかちょっとおきし
[01:12:30] たいと思います。
[01:12:33] 小林市長民課長
[01:12:36] はい、お答えいたします。
[01:12:38] え、1発で終わっていくのかというところ
[01:12:40] ですけども、え、7年度につきましては
[01:12:45] ホームページ、え、作成費、ま、相談会、
[01:12:49] え、開催などを進めてきておりますが、え
[01:12:53] 、あ、今年度、令和8年度からも、え、
[01:12:57] 引き続き、え、ホームページ、え、等です
[01:13:00] ね、あの、ま、今まで、え、ま、超の
[01:13:05] ホームページ、え、を通じてやってたん
[01:13:08] ですけども、それを一括して、え、ま、
[01:13:12] 相談者の方、あ、また、え、秋屋をどうし
[01:13:17] たら良いかというようなことを腸が窓口と
[01:13:21] なって、え、進めていきたいと、ま、総合
[01:13:23] 的に、え、秋ア活用を進めていきたいと、
[01:13:28] え、ま、補助事業についても、え、ホーム
[01:13:31] ページに掲載することで、え、
[01:13:35] ま、あの、先ほど申し上げ
