# source: https://www.youtube.com/watch?v=b4LLwOXfTvM
# video_id: b4LLwOXfTvM
# fetched: 2026-09-23T12:21:14.638Z
# segments: 1580

[00:00:29] 令ます。
[00:36:11] マニュアルの改定令和2年度には避難所
[00:36:16] 解説訓練若手職員を対象とした参訓練令和
[00:36:21] 5年度には対策部ごとの初動訓練令和6
[00:36:25] 年度には気省庁の職員による防災気象情報
[00:36:28] を活用した原及び初動訓練を実施してきた
[00:36:32] ところであります。また今年度からは新た
[00:36:36] に防災専門員を配置し8月末には基上での
[00:36:40] 災害対策本部立ち上げ訓練を行ってきた
[00:36:43] ところであります。これまでに積み重ねて
[00:36:46] きた研修や訓練の成果を確実なものとする
[00:36:50] ため、今後はいかなる状況かでも職員
[00:36:53] 1人1人が自分の役割を自主的に判断し、
[00:36:57] 迅速に行動ができる実践的な大王力の強化
[00:37:00] に務めてまいります。
[00:37:03] ご質問2点目の住民や各関係機関との連携
[00:37:07] についてでありますが、平成29年度以降
[00:37:11] 町では事女防災意識の向上のために防災
[00:37:15] セミナーを9回、出マ講座を22回開催し
[00:37:18] ており、また防災登録メールの配信や防災
[00:37:22] のしりの配布、ハザードマップなどを行っ
[00:37:26] てきております。また教助の推進のために
[00:37:30] 町内会などの自主防災組織の設立支援活動
[00:37:34] 促進のための支援を拡充しておりその他町
[00:37:37] 腸内外の関係機関や民間事業者とも災害
[00:37:41] 対応や物資供給応急工事などについて協定
[00:37:46] を締結し災害の前から必要な体制を整える
[00:37:50] ように務めております。さらに向धान力
[00:37:53] の向上につきましては関係機関を含めた
[00:37:57] 総合防災訓練を平成29年度から実施して
[00:38:00] おり、町民を交えた
[00:38:03] 及び登期地震を想定した避難所解説、運営
[00:38:07] 訓練、滝出し訓練などを実施し、事女、
[00:38:11] 教助の推進も同時に図ってきたところで
[00:38:13] あります。
[00:38:14] 今後につきましても民自らが災害時に慌てずに適切な行動ができるようまた教の取り組みが進むよう防災意識の向上を図ってまいりたいと考えております。以上です。
[00:38:40] 八山議員
[00:38:44] はい。え、全体的な町の今までの状況や今後に向けての方向性について詳しく説明をいただきありがとうございました。
[00:38:54] え、今年度からはさらに防災専門員を配置
[00:38:57] し、今後の災害対応についても強化を図っ
[00:39:01] ていくとことであります。一方で8月に
[00:39:05] 実施した基上訓練だけは実際の災害時に
[00:39:09] 想定しなかったことが発生するのではない
[00:39:12] かと考えます。やはり地域の実用や地形、
[00:39:16] 過去の災害を熟地した人材も含め実践的な
[00:39:21] 最訓練を行うことが重要だと思います。
[00:39:24] 特に10年未満の職員の皆様は新徳長出身
[00:39:28] 者が少ないと思いますので新徳長の地形や
[00:39:33] 過去の気象災害状況また10年前の災害を
[00:39:38] 経験したベテランの技術職員また地域に
[00:39:42] 精通した人などの地見へ知識や経験を職員
[00:39:47] 全体で共有しの世代についでいくことが
[00:39:51] 大切だと考えております。私自身も防災
[00:39:55] セミナーに参加してダンボールベッドの
[00:39:58] 組み立てなどを経験しましたが、実際に
[00:40:01] やってみると想像以上に大変なこともあり
[00:40:04] ました。そのため住民や関係団体がより
[00:40:07] 多く参加できる実践的な防災訓練を防災
[00:40:12] 専門を中心にさらに充実させていく必要が
[00:40:16] あると思います。そこで今後の防災訓練や
[00:40:21] 職員を含めた人材育成についてもう少し
[00:40:24] 具体的にどのように進めていく計画なのか
[00:40:28] をお聞かせください。また災害が発生した
[00:40:32] 場合の関係団体との連携についてもお聞き
[00:40:36] いたします。え、10年前の災害には応急
[00:40:39] 対応について役場の複数の部署から建設
[00:40:43] 協会へ連絡が入ったりすに直接役場から各
[00:40:48] 建設会社へ依頼をしたケースもあり、教会
[00:40:51] に連絡が入った時点では応援要請の重福
[00:40:56] など何をどのように優先するのかの判断が
[00:41:01] 大変難しかったなどのお話を伺いました。
[00:41:05] そのため災害時には連絡窓口をお互いに
[00:41:09] 一本化し、災害状況に応じて対応の優先
[00:41:14] 順位を決めるなど長団体が共通認識を持っ
[00:41:18] て対応できる体制が重要だと考えます。
[00:41:22] 現在も建設協会と、え、災害協定を締結し
[00:41:26] ておりますが、現状の協定では施工単価
[00:41:30] などを中心とした協定になっており、災害
[00:41:34] 時の具体的な連絡体制や役割分担、応援
[00:41:39] 要請の方法、優先順位などについてはまだ
[00:41:42] 十分な協議ができていないのではないかと
[00:41:45] 思います。新徳長強人化計画の中にもです
[00:41:49] ね、記載があります。地域事情に精通した
[00:41:53] 団体から効果的な協力を得ることが災害時
[00:41:57] に迅速な対応につがると記載されており
[00:42:00] ます。また建設関係団体に限らず奉仕団体
[00:42:06] 的な活動になってきた団体の方からも全員
[00:42:11] の高齢化や人材不足によりこれまでできて
[00:42:15] いた活動が今後は難しくなる可能性もある
[00:42:18] よというお話も伺っております。こうした
[00:42:21] 状況も踏まえて災害時に各団体が無理無理
[00:42:26] がなくそれぞれの役割を十分果たせるよう
[00:42:30] 兵事から交互の対応について協議し連携
[00:42:33] 体系を整えていくことが重要だと関。そこ
[00:42:37] で災害協定を締結している団体を始め、
[00:42:40] 地域の様々な団体との具体的な連携体制や
[00:42:46] 今後の競技見直しについて、え、再度街の
[00:42:50] 考えをお聞きしたいと思います。
[00:42:58] はい。え、まずですね、松山金員おっしゃる通りなんですけれども、ま、本長を取り巻く水害地震、そして竹等の火山災害など複合的なリスクに対してこれまでの街の体制であったり、危機意識というものをさらに高めていかなければならないという強い危機感というものも私自身も抱いておりました。
[00:43:19] え、そのためですね、私が就任を初めて
[00:43:22] 挑んだ都産編成において町の防災体制と
[00:43:25] いうものを強化すべく防災専門員を新たに
[00:43:29] 、え、配置させていただいた経緯がござい
[00:43:31] ます。え、そこで訓練と人材育成の計画に
[00:43:34] ついてでありますけれども、この専門員を
[00:43:37] 中心としまして、今年度9月に庁避難訓練
[00:43:40] 、来年1月には地震を想定した対策本部の
[00:43:44] 立ち上げ訓練及び避難所解説訓練という
[00:43:47] ものを実施予定であります。え、さらに次
[00:43:49] 年度以降はですね、職員の世代交代が進む
[00:43:52] 中でもノンハウというものが風化しない
[00:43:55] ように3年サイクルの計画的な訓練
[00:43:58] プログラムというものを定着させていく
[00:44:00] 考えであります。ま、1年目を基本訓練機
[00:44:03] として及び本部立ち上げ等の訓練、2年目
[00:44:06] を鍛錬訓練器としてシナリオ式のび実動
[00:44:11] 訓練、え、3年目を応用訓練器として
[00:44:15] ブラインド式の軌動的な実動訓練とこれら
[00:44:18] を水害地震火山と年ごとにテーマを変えて
[00:44:22] 対策ボ部ごとの訓練も重ねることで職員
[00:44:26] 1人1人の実践対応力というものを確実に
[00:44:29] 養ってまいりたいなという風に思っており
[00:44:32] ます。で、次に関係団体との連携
[00:44:35] 連絡体制についてでありますけれども、
[00:44:39] え、新徳建設協会様とは平成20年に協定
[00:44:43] を締結しまして、局所的な対応等でご協力
[00:44:46] をいただいているところであります。で、
[00:44:48] 一方でですね、10年前のこの大規模災害
[00:44:51] において現場で生じた連絡窓口の混乱や
[00:44:55] 要請の重福といった課題に対しまして、
[00:44:57] その後の平事において具体的な優先順位の
[00:45:00] 整理であったり連絡のルール化というもの
[00:45:03] が十分に進まないまま今日に至ったことに
[00:45:06] つきましては真摯に受け止めなければなら
[00:45:09] ないという風に考えております。え、
[00:45:11] 私自身もそれをお伺いしまして、ま、今
[00:45:14] までなぜやってこなかったのかなという
[00:45:17] ところもありますので、今年度配置した
[00:45:19] 防災専門員というものを軸にですね、建設
[00:45:22] 協会さんをはじめとする関係団体と兵事
[00:45:26] からの実務的な協議の場というものを早急
[00:45:29] に設けさせていただきまして、連絡窓口の
[00:45:31] 一本化であったり、応援要請手提重の明確
[00:45:34] 化というものを図るとに、先ほど申し上げ
[00:45:37] ました実践的な訓練の中に、え、各団体
[00:45:40] さんとの連携をしっかりと含み込んで実行性のある防災体制の構築というものを再度進めてまいりたいなという風に考えております。以上です。
[00:45:51] 八山議員
[00:45:54] はい。え、詳しいご答弁だきましてありがとうございます。ま、今後についてはもっとさらなる連携の強化を図っていくというお話でありますので、え、その辺を期待していきたいなと思います。
[00:46:07] ま、あの、近金なんですけど、やっぱり
[00:46:10] とかちだけの噴火の関係も、ま、最近情報
[00:46:13] としてありますので、ま、友氏の皆さんは
[00:46:16] その辺も以前からそういうお話はあったと
[00:46:19] 思いますので、ま、全体的にですね、え、
[00:46:23] 町民と各関係団体行政がですね、連携強化
[00:46:27] できるような形で進めていってもらいたい
[00:46:30] なと思います。え、答弁は別に、え、いり
[00:46:33] ませんので、え、これで終わりたいと思い
[00:46:36] ます。
[00:46:36] ありがとうございました。キさしてからどう?答弁その後
[00:46:57] うん。
[00:47:03] 10番中村優太議
[00:47:27] はい。え、通告に従いまして人工現象に
[00:47:30] おける持続可能な生活交通に質問させて
[00:47:33] いただきます。え、北海道は1つ1つの
[00:47:36] 地域が広く新徳においても新徳市街と
[00:47:40] ぴったり地区が離れているなど日常生活
[00:47:42] そのものが一定の移動前提として成り立っ
[00:47:45] ております。人口減少が進めば買い物医療
[00:47:49] その他の生活サービス全て1つの地域内で
[00:47:52] 維持することは今後さらに難しくなって
[00:47:54] いくことが考えられます。
[00:47:57] 多くの町民にとっては自価が日常生活に
[00:48:01] 欠かせない移動手段となっておりますが、
[00:48:04] 小学生、
[00:48:06] 中学生、高校生など自ら自動車を運転でき
[00:48:09] ない世代や運転免許所を変脳する町民も
[00:48:13] いることから、公共交通は買い物、通印、
[00:48:17] 社会参加など地域で生活を続けるための
[00:48:20] ライフラインであると考えております。
[00:48:23] 現在新徳長では北海道卓色バスによる路線
[00:48:26] バスを始めコミュニティバス、ソバクル、
[00:48:29] エスケットによる優勝輸送、タクシー利用
[00:48:32] 権など複数の交通所によって町民の移動を
[00:48:35] 支えております。近年ではタクシー利用権
[00:48:38] の利用範囲が拡大し、移動手段の選択肢が
[00:48:42] 増えたことで利用者の増加につがっており
[00:48:44] 、今後もさらなる増加が見込まれます。
[00:48:47] 今回はの交通機関の中で日常の生活交通と
[00:48:52] して運行しているコミュニティバス
[00:48:54] スバクロについてお伺いいたします。町民
[00:48:57] の方からはバスが走っていても人が乗って
[00:48:59] いない利用者がかなり少ないのではないか
[00:49:02] という声を聞くことがあります。一方で
[00:49:05] 必ずしも使いやすいとは言えないがこの
[00:49:07] バスがなくなると困る。免許を変脳したの
[00:49:10] でこのバスが命綱だという町民の方の声も
[00:49:13] あります。この双方の意見を踏まえた上で
[00:49:17] そばクルの運行にあたり腸の人口規部や
[00:49:20] 利用実態の効率的な持続効率的で持続可能
[00:49:25] な運行方法について1度検証する必要が
[00:49:28] あると考えております。そこで遺憾を2点
[00:49:32] についてお伺いいたします。
[00:49:36] は現在のスバクルについて利用状況マの
[00:49:39] 財政負担町民の利便性を含めどのように
[00:49:42] 評価しているのか、え、生活交通としての
[00:49:45] 機能を維持しながら固定経路、固定時刻、
[00:49:49] 多数のバス停現在
[00:49:51] の運行方法そのものについて見直しや改善
[00:49:54] を行うはないか。え、以上をお伺いいたし
[00:49:57] たいと思います。よろしくお願いいたし
[00:49:59] ます。
[00:50:02] え、3次休憩いたします。答弁は休憩後に
[00:50:05] 、え、いただくことにして、え、11時5
[00:50:10] 分まで休憩いたします。
[01:05:24] 休憩を時再開いたします。
[01:05:27] 町省長ご答願います。あ、
[01:05:46] 中村議員のご質問にお答えいたします。
[01:05:49] 1点目のソバクルの評価についてであり
[01:05:51] ますが、令和7年度の利用実績は6249
[01:05:56] 人となっており、時間帯や路線によっては
[01:05:59] 利用者が少ない便があることも認識して
[01:06:01] おります。また町の財政負担につきまして
[01:06:05] は1060万9000円
[01:06:07] を用しておりますがこのうち8割は特別
[01:06:11] 交付税措置があるため町の実質的な財政
[01:06:14] 負担は軽減されている状況であります。
[01:06:17] しかしながら効率的な運行が求められる
[01:06:20] 状況に変わりはございません。ソバクルは
[01:06:24] 高齢者や学生の皆様はめ全町民が利用でき
[01:06:28] 日常生活を支える大切なライフラインで
[01:06:31] あり交通弱者支援として不可欠な役割を
[01:06:35] 果たしていると捉えております。疑弁性に
[01:06:38] つきましては令和5年度に実施した地域
[01:06:41] 公共交通計画策定時の前行アンケートに
[01:06:44] おいて使いづらいといった厳しいご意見も
[01:06:48] いいており、現在の定時低路線型の運行
[01:06:52] のみでは町民の多様なニーズに対応しきれ
[01:06:55] ていない側面があることも受け止めており
[01:06:58] ます。2点目の運行方法の見直しや改善に
[01:07:02] ついてでありますが、先ほどのアンケート
[01:07:04] でもデマンド型交通の導入を望む声という
[01:07:08] ものが多く寄せられております。地域公共
[01:07:11] 交通計画においても交通弱者の移動手段の
[01:07:14] 確保は喫金の課題と位置づけており、現在
[01:07:18] の
[01:07:19] 現在の固定経路固定時刻による運行
[01:07:23] に囚われない見直しが必要であると認識し
[01:07:25] ております。そのため現在デマンド交通や
[01:07:30] ライトシェア、自価用優勝旅客運送など
[01:07:34] 多種多様な手段から本庁に最適な手法に
[01:07:37] ついて調査研究を進めているところであり
[01:07:41] ます。福祉交通費女性など他の既存政策と
[01:07:45] のバランスを取りながら本庁の実態に即し
[01:07:48] た持続可能な生活交通の新たな方向性を
[01:07:53] 地域公共交通計画の見直しを通じてできる
[01:07:56] だけ早期にお示ししてまいります。以上
[01:07:59] です。
[01:08:13] 中村議員
[01:08:17] はい。え、現のコミュニティバスにおける運行課題を踏まえ、デマンド交通やライドシェア、地下用優勝留学運送など多様な手法について、え、研究調査を進めていられること。また民アンケートにおいてもデマンド型交通の導入を望むことが多く寄せられているとのことでした。
[01:08:36] え、私は本長のように人口密度が低く居住
[01:08:39] 地が分散している地域におきましては、え
[01:08:42] 、定時、え、低路線型の大型車両を巡回さ
[01:08:45] せ続ける方式よりも利用予約に応じて需要
[01:08:49] を集約し移動を支えるデマンド交通の方が
[01:08:52] 地域特性に適していると考えております。
[01:08:56] 一般に定示路線バスは一定の人口密度と
[01:09:00] 定常的な需要が存在する地域において効率
[01:09:03] 性を発揮します。しかしながら本庁におい
[01:09:06] ては時間帯や路線によって利用者が極めて
[01:09:08] 少ない便が生じていることを、ま、先ほど
[01:09:10] の、え、答弁でもされております。え、
[01:09:14] 本長においての日常の利用目的は医療機関
[01:09:17] 、商業施設、公共施設などにある程度集約
[01:09:21] されており、都市部のように複数滝に渡る
[01:09:24] ような目的を必要といたしません。
[01:09:29] ポイントを適切に整理し約すれば乗車に
[01:09:32] 効率的にまとめながら比較的シンプルで
[01:09:35] 持続可能なデマンド運行を構築できると
[01:09:37] 考えております。都価でもシロが実証運行
[01:09:43] に向けて利用を開始し、新聞報道では開始
[01:09:46] から2日間で約100人が登録、100人
[01:09:49] 程度が登録したとされております。こうし
[01:09:52] た動きを見てもデマンド交通への需要は
[01:09:54] 一定程度あると考えられます。もちろん
[01:09:58] デマンド交通の導入にありたりましては、
[01:10:01] え、スマートフォン非利用者への配慮や
[01:10:03] システムコスト、導入後の利用、え、定着
[01:10:06] など解決すべき課題があることも承知して
[01:10:09] おります。またいつでも個別に乗れる便利
[01:10:12] な乗り物といった過度な期待や誤解が
[01:10:15] 生じると効率的な相乗りが機能せず運行
[01:10:20] 効率を損ねえて本末戦闘となりかねません
[01:10:22] 。本長の実情に合わせた適切な運行ルール
[01:10:27] の整理が必要だと思います。
[01:10:30] 住民にとって必要なことは何に乗っていく
[01:10:32] かではなく、希望する時間帯に安全に確実
[01:10:35] に目的へつくことです。新徳長も調査研究
[01:10:39] にとまるのではなく、実証運行を行い利便
[01:10:43] 性や効率性課題を検証することは不可欠で
[01:10:46] あると考えております。そこでお伺い
[01:10:49] いたします。
[01:10:51] 庁としての調査研究の段階にとまることなく、本長の実態にした交通システム構築に向けた出満の交通の実運行を行う考えはないか長の所見をお伺いいたします。佐省長
[01:11:09] はい。え、中村議員おっしゃる通りですね。デマンド交通というものは移動の手段の有力な選択肢の
[01:11:16] 1つであるという風に認識しております。
[01:11:18] ま、全国的な課題であります。運転手の
[01:11:22] 不足への対応であったり、交通弱者の移動
[01:11:24] 手段の確保というものを両立させる上でも
[01:11:27] 効率的な乗り合いシステムの構築という
[01:11:29] ものは重要であります。ただ一方でですね
[01:11:32] 、デマンド交通にはやはり利便性への期待
[01:11:35] というものがある一方で特有のデメリット
[01:11:37] や課題というものも存在するという風に
[01:11:39] 伺っております。例えば、え、事前予約が
[01:11:43] 必要となるため、乗りたい時にすぐ乗れ
[01:11:45] ない不便というものであったり、複数の方
[01:11:48] との乗り合いによる迂いや到着時間の変動
[01:11:51] といった制約というものが生じてきます。
[01:11:53] また、スマートフォンやアプリの操作に
[01:11:55] 不慣れな高齢者にとっては電話予約を含め
[01:11:58] た利用手続きというものが、え、心理的な
[01:12:01] ハードルになるという懸念もございます。
[01:12:04] さらに先行事例というものを検証しますと
[01:12:06] ですね、導入時にで、あの、導入前には
[01:12:09] ですね、是非欲しいと多くの要望や期待の
[01:12:12] 声が寄せられるものの、いざ運行を開始
[01:12:15] すると利用登録はしたものの、実際の日常
[01:12:18] 利用には結びつかないであったり従来の
[01:12:21] 自価要送迎であったり、タクシーから利用
[01:12:24] がシフトしないといった、いわば利用定着
[01:12:26] の難しさという現実的な壁というものを
[01:12:29] 報告されております。従って、え、ま、
[01:12:31] 議員がおっしゃいますように何に乗るかで
[01:12:34] はなくて、安全確実に目的地へつくという
[01:12:37] 住民目線の利用性、あの、利便性という
[01:12:40] ものを確保するためには、やはりの調査、
[01:12:42] 研究にとまらず実際の運用を通じて本庁に
[01:12:46] あった仕組みを検証する実証運行の
[01:12:48] プロセスというものが不可能、え、不可欠
[01:12:51] であるという風に考えております。実行
[01:12:53] あの実行というものをするにあたりまして
[01:12:56] もまずは本長においてどのような予約運行
[01:12:59] システムが長面にとって最も使いやすいの
[01:13:02] かどのエリアや情報ポイントを設定すべき
[01:13:05] かタクシー等の既存事業者との役割分担
[01:13:08] などですねどう描いていくかといった具体
[01:13:11] 的なえ実施計画というものを詰めていく
[01:13:14] 必要がございます。従いまして、現在進め
[01:13:17] ている地域公共交通計画の見直し議論の中
[01:13:20] でデマンド交通をはめとする最適な交通の
[01:13:24] 最構築というものをしっかりと検討した上
[01:13:26] で、次のステップとして、え、実運行の
[01:13:29] 実施に向けた具体的な検討に、え、進めて
[01:13:33] まいりたいなという風に考えております。
[01:13:35] 以上です。
[01:13:39] 中村議員
[01:13:42] はい、ありがとうございます。リバンド
[01:13:44] 交通におけるデメリット、ま、各地域から
[01:13:47] のそのような話をお伺いしております。
[01:13:49] やはりあの、ま、なかなか不慣れな操作
[01:13:51] だったりとかそういったもの非常にあるか
[01:13:53] と思います。ま、そういったものも含めて
[01:13:55] やはり実証検証というのも必要だと思って
[01:13:58] おります。するとですね、やはりあの
[01:14:00] なかなか不慣れで、ま、元の利用、あの、
[01:14:03] ま、交通
[01:14:05] 状況に戻ってしまうというのであればです
[01:14:07] ね、あの、実証検証の中で、ま、一緒に
[01:14:10] 利用される方を巻き込むという、え、方法
[01:14:13] 非常に必要ではないのかなと思います。
[01:14:15] 特にですね、あの、
[01:14:18] ある程度、ま、もうすでに出来上が
[01:14:21] システムを、ま、超の方にダウンロードし
[01:14:23] てください、使ってくださいっていう
[01:14:25] いわゆる投げっぱなしのような状況。これ
[01:14:27] て非常に、ま、不親切なのかなとは思って
[01:14:29] おります。なので実証検証を行いながら
[01:14:32] 一緒に構築していくというプロセス必要だ
[01:14:34] と思います。もちろんデマンド交通も含め
[01:14:37] ですね、そのライドシェアというのも多分
[01:14:39] 複数あの必要な状況というのももちろん出
[01:14:42] てくるかと思います。そして、ま、
[01:14:44] デマンド交通の方なんですけれども、特に
[01:14:47] その昨今においてはですね、あの、ま、
[01:14:50] 特にAI環境などが充実しておりまして、
[01:14:53] その場でアプリケーション等々をすぐ
[01:14:55] 作れるといった、え、環境を整っており
[01:14:57] ます。もちろんそのすぐにその本格的に
[01:15:00] 使えるものではないんですけれども、あの
[01:15:03] 、共にですね、例えば、え、ま、サークル
[01:15:07] 活動、ま、特に高齢者の人たちが集まって
[01:15:09] いるようなサークル活動、そういった
[01:15:11] ところですね。で、実際に使ってみる複数
[01:15:15] においてその、ま、デマンドコツを仮して
[01:15:18] みる、そして使ってみるという、え、と
[01:15:20] いったあの巻き込み方っていうのがあると
[01:15:22] 思うんですね。やっぱりその実際にやって
[01:15:25] みるっていうの1番の大きな不安、あの、
[01:15:28] ま、壁というのが不安っていうのがあると
[01:15:30] は思います。ま、ちょっと私ではあるん
[01:15:33] ですけれども、あの、ま、インターネット
[01:15:36] 非常に先というか形が見えないシステム
[01:15:39] ですので、あの、実際に予約してたのかと
[01:15:42] か、ちゃんと予約できているのか、こう
[01:15:43] いったのが分からない。特にまだ、あの、
[01:15:45] 私航空チケットとか予約すると実際に予約
[01:15:48] できてるの、1ヶ月前に予約して、
[01:15:50] [鼻息]
[01:15:51] あの、ま、実際にどこまで予約できたのか
[01:15:53] わかんない。1人でそれを全部把握してる
[01:15:56] けど飛行機に乗る直前にチケットが出る
[01:15:59] までかなり不安でしょうがない。そういっ
[01:16:00] たものがかなりあるんですね。多分こう
[01:16:02] やってスマホを使った操作っていうのも
[01:16:04] そういう見えない作業っていうのがあると
[01:16:06] 思うんですよ。そこでですね、ま、
[01:16:08] コミュニティの中で、ま、サークル活動
[01:16:10] それ中で実際にみんなで1回同じ
[01:16:13] アプリケーションを使ってみてボタンを
[01:16:15] 押してみて予約してみるで、またその週に
[01:16:18] 、ま、みんなでそこでデマンド交通なり、
[01:16:20] ま、もしかしたらライドシェアなのかも
[01:16:21] しれない。もちろんそういった形、どう
[01:16:23] いった形か分からないんですけれども、
[01:16:25] 一緒に、ま、来る。そうするとじゃ誰々
[01:16:27] さんちょっと失敗したからみんなで直して
[01:16:30] いこう。こういったあの不安の解消という
[01:16:32] のができると思うんですよね。それともう
[01:16:35] 1つですね、あの、ま、検証するに
[01:16:37] あったってですね、やっぱりその、ま、
[01:16:39] ライドシェアが、ま、タクシーのような
[01:16:42] イメージを持たれてしまうっていう認識。
[01:16:44] それが逆に効率を、ま、狭めてしまうと
[01:16:47] いうところなんですけれども、あの新徳だ
[01:16:50] いうような地域であれば、ある程度集約
[01:16:53] するためには何時何分という細かいもので
[01:16:57] はなく、10時着便といったような形で
[01:17:01] ざっくりと時間を分けていくといったよう
[01:17:04] な対応もできるかと思います。要するに
[01:17:07] その最終的に待ち合わせに間に合うような
[01:17:10] 時間配分であれば、ある程度はうんと何時
[01:17:14] に到着するお迎えに行くかというのが委ね
[01:17:16] られ、あのま、ドライバーの方に委ね
[01:17:18] られる。そうするとかなり安定した運行
[01:17:21] っていうのが可能だと思うんですね。で、
[01:17:23] ま、ちょっと私これ、えと、デマンド交通
[01:17:26] 用のアプリケーション作ってみたんです
[01:17:28] けれども、ま、実際にあの、ま、ただで
[01:17:31] 作れる、作ったんですけども、ま、マップ
[01:17:33] 、あの、予約が入った段階でいわゆるその
[01:17:36] 既存のウェブ上のマップに予約の人のあの
[01:17:39] 場所が、え、ま、表示される。で、えっと
[01:17:43] 、ま、ドライバーの方で運行順番を決めて
[01:17:46] 設定を押すと何時何にお迎えに行きます
[01:17:49] よっていうのが持ってる人のスマート
[01:17:51] フォンに通知がいく。さらに到着5分前に
[01:17:55] アラームがなるような形でこういった
[01:17:57] アプリ作れるんですね。そうすると、まあ
[01:18:00] 大体うん、アラームが鳴ったら出て家の前
[01:18:02] で待ってればいいなとか、どこどこのお店
[01:18:04] の前で待ってればいいなみたいな形も
[01:18:07] もちろん可能かと思います。こういったも
[01:18:09] を実際できるか実証検証っていうのも可能
[01:18:11] としてあるかと思います。またあの
[01:18:13] スマートフォンをお持ちでない方の対応
[01:18:15] っていうのもこれ多分1番実証検証の中で
[01:18:18] あの重要になってくると思うんですけれど
[01:18:20] もかなりその利用される人数にもかなりよ
[01:18:24] う影響されるとは思うんですが正直な
[01:18:28] ところ新徳長の人数であれば留守番電話に
[01:18:33] 名前と行きたい場所と時間を言ってもらう
[01:18:38] これでも可能かどうかまたはもう少しAI
[01:18:42] 音声で、あの、登録が予約できる形にする
[01:18:46] か、いくつかパターンはあると思います。
[01:18:48] そういったのも実証検証の中でそういった
[01:18:51] 対応を含めて見ていけられるのじゃないか
[01:18:54] と思います。依前しろあの新徳調だから
[01:18:57] できること都市部と同じ方法でやる必要は
[01:19:00] ないと思うんですね。フルデジタルでは
[01:19:03] なくてゆりをもたったシステムある程度人
[01:19:05] に依存する形ではないんですが、委ねて
[01:19:07] いく。そういったデマンドコースの実証
[01:19:09] 運行というのも、え、ま、ちょっと見据え
[01:19:12] ていけるのではないかと思っております。
[01:19:17] え、ま、かなり将来像の花地になって
[01:19:19] しまいました。今後実証運行を検証するに
[01:19:22] はですね、え、既存のデマンド交通
[01:19:24] システム導入のありではなく実段階から、
[01:19:27] え、実際の利用者また今後利用される方
[01:19:30] などに参加していただき、新徳長に適した
[01:19:32] 予約方法や運行方法そのものを町民としに
[01:19:35] 検証していく。
[01:19:36] いわゆる、え、住民参加型の受賞運行を行うということを私考えておりますが、え、これについて町長の、え、職見をお伺いたします。佐長。
[01:19:50] はい。え、ま、1
[01:19:52] 回目の答弁でもさせていただいたんですけれども、やはり、え、ま、今後デマンド交通を含めですね、最適な交通の再構築をしっかりしていく。
[01:20:03] ま、その次のステップとして、え、ま、
[01:20:06] 自称運行というものが出てくるのかなと
[01:20:08] いう風に考えております。ま、その時には
[01:20:10] ですね、え、中村議員おっしゃいました
[01:20:13] けれども、やはりその予約ができているの
[01:20:15] かどうか分からない不安っていうのは皆
[01:20:16] さんお持ちかと思います。ま、手元にない
[01:20:19] 、すぐに見えない不安っていうものはある
[01:20:21] かと思いますので、もちろんデジタルだけ
[01:20:24] ではなく電話であったり、先行自体もそう
[01:20:26] いったあのハイブリッドなやり方というし
[01:20:29] てますので、そういったものも参考にし
[01:20:31] ながら、え、やっていくことになるのかな
[01:20:33] と思います。で、ま、もちろんデマンド
[01:20:35] 交通だけではなくてですね、TXを進めて
[01:20:38] おりますので、今後そういったデジタルに
[01:20:41] 不慣れな方に対しての、え、サポート高齢
[01:20:44] 者への配慮ですね、そういったデジタル
[01:20:46] デバイド対策というものは不可欠であると
[01:20:48] いう風に考えておりますので、そういった
[01:20:50] こともきちっとやっていきたいなという風
[01:20:52] に考えております。ま、中村議員
[01:20:54] おっしゃる通りにですね、既存の
[01:20:56] パッケージシステムというものをそのまま
[01:20:58] 導入するんではなくてですね、やはり
[01:21:00] 私たちの町の町民というものが、え、一緒
[01:21:03] に思考錯誤していきながらですね、本当に
[01:21:06] 使いやすい交通システムを段階的に競争し
[01:21:09] ていくということが、え、大切であると
[01:21:12] いう風に私どもも思っておりますので、え
[01:21:15] 、ま、今後新たな交通、え、体験のあり方
[01:21:17] というものを検討していく中でしっかりと
[01:21:20] 参考にさせていただきながら、え、進め
[01:21:22] させていただき
[01:21:23] したいなという風に考えております。以上です。
[01:21:49] 4番桜田号子議
[01:22:12] はい。え、議長のお許しをいただきました
[01:22:15] ので、通告にした、え、基づき持続可能な
[01:22:18] 高齢者の移動の足の確保についての質問を
[01:22:21] いたします。連続で、え、足の問題という
[01:22:26] ことで大変恐縮でございますが、え、議会
[01:22:28] がですね、定期的に開催しておりますの
[01:22:32] 意見を聞く会などにおいて、運転免許変さ
[01:22:36] れた方など、車を持たない高齢者の皆様
[01:22:39] から病院への通印や日々の買い物、高齢者
[01:22:44] サロンに通うための足がないという切実な
[01:22:47] 声が常に寄せられています。本庁では70
[01:22:51] 歳以上の方が人口の約3割を占めており
[01:22:54] ますが、現在利用できる公共の移動手段と
[01:22:57] しては運行本数が少なく決まった低流所
[01:23:01] しか通らない循環バス、そばクルや卓色
[01:23:04] バスあるいは日常的に利用するには、え、
[01:23:08] 利用料金が高額になってしまうタクシーに
[01:23:10] 限られております。自宅の前から目的地の
[01:23:15] 玄関先まで直接移動できかつ年金暮らしの
[01:23:19] 高齢者でも無理なく支払える低な移動手段
