# source: https://www.youtube.com/watch?v=v_P63bUm0ls
# video_id: v_P63bUm0ls
# fetched: 2026-07-10T09:14:45.147Z
# segments: 916

[00:01:00] 終を行います。
[00:44:53] の説明を求めます。渡副長。
[00:45:01] [咳払い]
[00:45:06] 議案第50号先結処分の承認についてご
[00:45:10] 説明申し上げます。2ページをお開き願い
[00:45:13] ます。先結処分令和7年度新得庁後期高齢
[00:45:19] 者医療特別会計補正予算先結第1号につき
[00:45:24] まして地方自事法第179条第1項の規定
[00:45:29] により別死の通り先結処分をしたもので
[00:45:32] ございます。次のページに移りまして、
[00:45:35] この補正予算は第1条で歳入歳出予算の
[00:45:40] 総額から歳入歳出それぞれ
[00:45:43] 17万1000円
[00:45:45] を減額し、歳入歳出予算の総額を歳入歳出
[00:45:50] それぞれ1億30004万9000億
[00:45:56] 失礼しました。1億349万8000円
[00:45:59] とするものでございます。え、11
[00:46:02] ページ出をお開き願います。
[00:46:06] 2巻広域連合納付金では実績により減額を
[00:46:11] しております。8ページに戻りまして再入
[00:46:14] をお開き願います。一巻期
[00:46:18] 高齢者医療保険料では決算見込みにより
[00:46:22] 増額してございます。9ページに移りまし
[00:46:25] て、2巻繰金では今回の補正の財源調整の
[00:46:30] ため、一般会計繰歴を減額しております。
[00:46:35] 10ページをお開き願います。
[00:46:38] 3巻繰越金では前年度繰り越し金の確定に
[00:46:42] より増額をしております。以上で説明は
[00:46:45] ありますがよろしくご審議のほどお願い
[00:46:47] いたします。
[00:46:58] これから質疑に入ります。質疑がありまし
[00:47:00] たら発言を許します。
[00:47:03] これを持って質疑を集結いたします。本件
[00:47:07] について討論はありませんか?
[00:47:13] 討論はないようですので、これから議案第
[00:47:16] 50号を採決いたします。本件はこれを
[00:47:20] 承認することに賛成議員の挙を求めます。
[00:47:25] 挙州全員であります。よって議案第50号
[00:47:30] はこれを承認することに決しました。
[00:47:34] 日程第14議案第51号先結処分の承認に
[00:47:39] ついて議題といたします。提案者から提案
[00:47:42] 理由の説明を求めます。渡副長。
[00:47:55] 議案第51号先結処分の承認についてご
[00:48:00] 説明申し上げます。2ページを開き願い
[00:48:03] ます。選結処分書令和7年度新長介護保険
[00:48:08] 特別会計補正予算先結第1号につきまして
[00:48:12] 、地方自事法第179条第1項の規定に
[00:48:16] より別死の通り選結処分をしたもので
[00:48:20] ございます。次のページに移りまして、
[00:48:23] この補正予算は第1条で歳入歳出予算の
[00:48:27] 総額から歳入歳出それぞれ
[00:48:30] 780万2000円
[00:48:32] を減額し、歳入歳出予算の総額を歳入歳出
[00:48:36] それぞれ7億6446万2000円
[00:48:41] とするものでございます。12ページ再出
[00:48:45] をお開き願います。
[00:48:50] [咳払い]
[00:48:51] 一巻総務費から16ページの3巻
[00:48:56] 地域支援事業費では介護サービス給付費等
[00:49:01] の実績によりそれぞれ減額をしております
[00:49:04] 。19ページをお開きください。
[00:49:10] 4巻基金積み立て金では今回の補正の財源
[00:49:14] 調整のため介護給付費準備基金積み立て金
[00:49:19] を増額しております。20ページをお開き
[00:49:22] 願います。
[00:49:26] 互間小出金では実績により税幹付金を減額
[00:49:31] しております。8ページに戻りまして再入
[00:49:34] をお開き願います。
[00:49:39] 間介護保険料及び9ページの2巻国支出金
[00:49:44] では実績によりそれぞれ減額をしており
[00:49:47] ます。10ページをお開き願います。
[00:49:56] 間繰り金の一般会計繰り金では介護給付費
[00:50:01] の実績により減額をしており、介護給付費
[00:50:05] 準備基金繰レ金は今回の補正の財源調整の
[00:50:09] ため減額をしております。11ページに
[00:50:13] 移りまして8巻初収入では実績により増額
[00:50:17] 及び減額をいたしております。え、以上で
[00:50:21] 説明をありますがよしっこ審議のほど
[00:50:23] よろしくお願いいたします。
[00:50:34] これから質疑に入ります。質疑ありましたら発言を許します。これを持って質疑を集結いたします。
[00:50:43] 本件について討論はありませんか?討論はないようですんで、これから議案第
[00:50:59] 51
[00:51:00] 号を採決いたします。本件はこれを承認することに賛成
[00:51:05] 議員の挙を求めます。挙種全員であります。
[00:51:11] よって議案第51号はこれを承認すること
[00:51:14] に決しました。
[00:51:18] 日程第10号議案第52号税
[00:51:25] 調税条例の一部を改正する条例の制定に
[00:51:29] ついてを議題といたします。提案者から
[00:51:32] 提案理由の説明を求めます。市川水課長
[00:51:52] 議案第52号調税条例の一部を改正する
[00:51:56] 条例の制定についてご説明申し上げます。
[00:51:59] 7ページをご覧ください。
[00:52:05] 下段にあります提案理由でございますが、
[00:52:07] 地方税法及び地方税法等の一部を改正する
[00:52:11] 法律の一部を改正する法律、地方税法施工
[00:52:15] 例等の一部を改正する政令並びに地方税法
[00:52:19] 施工規則及び地方税法施工規則の一部を
[00:52:22] 改正する等の奨例の一部を改正する奨例
[00:52:26] 地方税法施工規則の一部を改正する等の
[00:52:29] 奨励地方税法施工規則の一部を改正する等
[00:52:33] の省奨励及び地方税法施工規則の一部を
[00:52:36] 改正する奨励が令和8年4月1日から施工
[00:52:40] されることに伴い本条例の一部を改正
[00:52:43] しようとするものであります。8ページを
[00:52:46] ご覧ください。
[00:52:51] 改正内容でございますが、不足第34条の
[00:52:54] 7、不足第7条の4、不足第9条の2関係
[00:52:59] では復興特別所得税の課税機関の延長及び
[00:53:03] 防衛特別所得税の創設に伴う規定の整備
[00:53:07] 及び特定暗号資産取引にかかる課税の
[00:53:11] 見直しに伴う規定の整備をするものであり
[00:53:13] ます。第36条の3の3関係では公的年金
[00:53:18] 等地者の不要親族等申告書の提出義務の
[00:53:22] 範囲の見直しに伴う規定の整備をするもの
[00:53:24] であります。第63条関係では固定資産税
[00:53:29] の面税点の引き上げに伴う規定の整備を
[00:53:32] するものであります。不足第6条関係では
[00:53:36] 特定一般用医薬品等購入費を支払った場合
[00:53:39] の医療費控除特例の見直しに伴い規定の
[00:53:43] 整備をするものであります。第36条の2
[00:53:47] 、第36条の3の2関係ではずれ及び規定
[00:53:52] の削除等に伴う規定の整理をするもので
[00:53:55] あります。5ページに戻りまして
[00:54:02] 不足でございますが、第1条では施工期述
[00:54:05] を、第2条では町民税に関する経過措置、
[00:54:09] 第3条では固定資産税に関する経過措置を
[00:54:12] それぞれ定めております。調例本部につい
[00:54:16] ては朗読を省略させていただきます。以上
[00:54:19] で説明を終わりますが、ご審議のほど
[00:54:21] よろしくお願い申し上げます。
[00:54:37] これから質疑に入ります。質疑入りましたら発言を許します。これを持って質疑を集結いたします。本件について討論はありませんか?討論はないようですんで、これから議案第
[00:54:52] 52号を採決いたします。
[00:54:55] 本件は原案の通り決することに賛成議員の
[00:54:58] 挙を求めます。
[00:55:01] 挙種全員であります。よって議案第52号
[00:55:05] は件案の通り可決されました。
[00:55:15] 日程第16議案第53号令和8
[00:55:20] 年度新長一般会計保予算についてを議題といたします。提案者から提案流の進めを求めます。田中副長
[00:55:30] はい。
[00:55:41] 議案第53号、令和8年度新得庁一般会計
[00:55:46] 補正予算第2号につきましてご説明
[00:55:49] 申し上げます。第1条歳入歳出予算の総額
[00:55:53] に歳入歳出それぞれ
[00:55:56] 3億6498万7000円
[00:56:00] を追加し、歳入歳出予算の総額を歳入歳出
[00:56:04] それぞれ90億618万7000円
[00:56:10] とするものでございます。第2条地方の
[00:56:15] 変更及び追加は第2地方再補正によるもの
[00:56:20] でございます。13ページ再出をお開き
[00:56:23] 願います。
[00:56:29] 2巻総務費企画費の16節購入財産購入費
[00:56:34] ではスマートインターチェンジ道の駅整備
[00:56:37] にかかる土地の購入が必要なことから土地
[00:56:42] 加く購入費を新たに計上してございます。
[00:56:46] 補戸住民基本大腸費の18節負担金補助
[00:56:50] 及び交付金では戸籍及び戸籍付並びに住民
[00:56:56] 表の振りがの追加に関連するシステムの
[00:57:00] 回収費として北海道自治体情報システム
[00:57:04] 協議会負担金を増額しております。14
[00:57:07] ページをお開き願います。
[00:57:10] 3民費福祉対策費18節負担金補助及び
[00:57:16] 交付金では貸し付けをしている旧札幌小
[00:57:20] 学校において壁の劣化により窓が破損して
[00:57:24] おり補強が必要なことから中前費用の半額
[00:57:28] を負担するため新たに旧札幌小学校修繕費
[00:57:33] 負担引金を計上してございます。
[00:57:39] 保険福祉センター管理費の14節工事受業
[00:57:42] 用意費では保険福祉センター建設当初より
[00:57:46] 設置されている2台のボイラーが経年劣化
[00:57:49] に伴い故障及び能力が低下していること
[00:57:53] からボイラーの更新を実施するため保険
[00:57:57] 福祉センターボイラー更新工事費を新たに
[00:58:00] 計上しております。子育て支援費の10節
[00:58:05] 需要費では仲良し児童館のネット有具修繕
[00:58:09] にかかるネット資材の価格高等に伴い修繕
[00:58:13] 費を修繕量を増額しております。15
[00:58:17] ページに移りまして4巻衛生費の予防費
[00:58:21] 18節負担金及び交付金では町内歯科委員
[00:58:26] の医療機更新に伴う支援事業の申請があり
[00:58:32] ましたので医療機と支援補助金を新たに
[00:58:37] 計上しております。16ページをお開き
[00:58:40] 願います。
[00:58:42] 間農林水産業費農地費の18節負担金補助
[00:58:48] 及び交付金では今年度の同事業費の
[00:58:53] 配分が確定したことに伴い同事業地元負担
[00:58:57] 金を増額し環境
[00:59:01] [鼻息]
[00:59:02] 整備事業の補助金を補助金については申請
[00:59:06] 事業申請予定額が当初予定額を生回ること
[00:59:12] 上回ることが予想されるため増額をいたし
[00:59:15] ております。17ページに移りまして7巻
[00:59:19] 商行費観光費では観光費の12節委託量で
[00:59:23] は友し温泉東大切層の近くに位置する亡
[00:59:28] 施設を利用した水力発電の実施設計及び
[00:59:33] 環境地出調査を実施するため東大切省東切
[00:59:38] 層力発電等実施設計委託量を新たに計上し
[00:59:44] ております。18ページをお開き願います
[00:59:47] 。
[00:59:49] 8巻土木費道路費の17節備品購入費では
[00:59:55] 建設機会の購入にかかる経費を新たに計上
[00:59:59] してございます。19ページに移りまして
[01:00:02] 10巻教育費事務局費の8節旅費では人事
[01:00:07] 移動等により長外から通勤する会計年度
[01:00:11] 任用職員の費用弁償を増額しております。
[01:00:15] 教育振の17節備品購入費では学習用端末
[01:00:21] の購入にかかる経費を新たに計上して
[01:00:25] ございます。公園スキー場管理費の10節
[01:00:29] 需要費ではスポーツ芝フ広場の修繕に
[01:00:32] かかる経費を新たに計上してございます。
[01:00:36] 8ページに戻りまして再認をお開き願い
[01:00:38] ます。
[01:00:43] 13巻担
[01:00:45] 金及び負担金農林水産業費分担金では同
[01:00:51] 事業の実施に伴う分担金を計上してござい
[01:00:55] ます。9ページに移りまして15巻国出金
[01:01:01] 土木費補助金では建設機会の購入の財源と
[01:01:05] して社会資本整備総合交付金を新たに計上
[01:01:11] しております。教育費補助金では学習用
[01:01:15] 端末の購入の財源として公立学校情報機
[01:01:21] 整備費補助金を新たに計上しております。
[01:01:24] 10ページをお開き願います。
[01:01:30] 16巻同金農林水産業費補助金では同事業
[01:01:35] の実施に伴う補助金の補助金を計上して
[01:01:38] ございます。11ページに移りまして19
[01:01:42] 巻繰歴は今回の補正の財源調整のため財政
[01:01:48] 調整基金繰り金を増額し保険福祉センター
[01:01:52] ボイラー更新にかかる費用の財源として
[01:01:56] 公共施設整備基金繰レ金を医療機等支援
[01:02:01] 事業の財源として保険医療福祉基金繰歴を
[01:02:06] 増額しております。12ページをお開き
[01:02:09] 願います。
[01:02:12] 22巻調査では各事業の財源に当たる
[01:02:18] 当てるため調を増額してございます。4
[01:02:21] ページをお開き願います。
[01:02:29] 第2地方災補正では加素対策事業祭の記載
[01:02:33] 原路学を変更しております。5ページに
[01:02:36] 移りまして、返事対策事業として
[01:02:39] 東大切回収事業を追加しております。以上
[01:02:43] で説明はありますが、ご期のほどよろしく
[01:02:46] お願いいたします。
[01:02:58] これから質疑に入ります。質疑入りました
[01:03:00] 発言を許します。
[01:03:04] これを持って質疑を集結いたします。本件
[01:03:07] について討論はありませんか?
[01:03:11] 討論はないようですので、これから議案第
[01:03:14] 53号を採決いたします。本件は件案通り
[01:03:18] 決することに賛成議員の挙も認めます。
[01:03:23] 挙種全員であります。よって議案第53号
[01:03:28] は件案の通り可決されました。
[01:03:31] 日程第17
[01:03:34] イ案第1号ゼロカーボン北海道の実現に
[01:03:38] する森林
[01:03:41] 木材産業施策の充実強化を求める意見書を
[01:03:46] 議題といたします。お諮りいたします本件
[01:03:50] については産業文教常任委員会に付託し
[01:03:54] たいと思います。これにご異議ございませ
[01:03:56] んか?
[01:03:58] 意義なしと認めます。よって意見案第1号
[01:04:02] は産業文教常任委員会に不託し審査する
[01:04:06] ことに決しました。今定例会の会議中に
[01:04:10] 審査をお願いします。
[01:04:14] 日程第18意見案第2号地方財政の充実
[01:04:19] 強化に関する意見書を議題といたします。
[01:04:23] お諮りいたします。本件については総務
[01:04:25] 構成常任委員会に付託したいと思います。
[01:04:29] これに異議ございませんか?異議なしと
[01:04:32] 認めます。よって意見案第2号は総務構成
[01:04:37] 常任委員会に不託くし審査することに決し
[01:04:40] ました。今定例会の会機中に審査をお願い
[01:04:44] します。
[01:04:46] 日程第19意見は第3号202026
[01:04:52] 年度北海道最低賃金改正等に関する意憲書
[01:04:58] を議題といたします。本件については産業
[01:05:01] 文教条任委員会に不託したいと思います。
[01:05:04] これにご異議ございませんか?
[01:05:08] 異議なしと認めます。よって意見案第3号
[01:05:12] は産業文教条任委員会に不託し審査する
[01:05:16] ことに決しました。今定例会の開地に審査
[01:05:19] をお願いします。
[01:05:22] 日程第20意見案第4号
[01:05:27] 義務教育費国負担制度検事負担率1/2へ
[01:05:32] の復元など教育予算拡充と豊かな学びを
[01:05:38] 求める意見書議題といたします。お諮り
[01:05:42] いたします。本件については産業文教常任
[01:05:45] 委員会に付託したいと思います。
[01:05:48] これにご異議ございませんか?
[01:05:52] 異義なしと認めます。よって意見案第
[01:05:56] 4
[01:05:56] 号は産業文教常任委員会に付託し審査することに決しました。今定例会の会議集に審査をお願いします。
[01:06:08] 日程第21意見案第5号
[01:06:12] 同協これからの高校作りに関する指針を
[01:06:18] 見直し見直し全ての子供に豊かな学びを
[01:06:23] 保障する高校教育を求める意見書を議題と
[01:06:27] いたします。お諮りいたします。本件に
[01:06:30] ついては産業文教条任委員会に不託したい
[01:06:33] と思います。これにご異議ございませんか
[01:06:36] ?
[01:06:38] 異議なしと認めます。よって意見案第5号
[01:06:42] は産業文教常任委員会に不託くし審査する
[01:06:46] ことに決しました。今定例会の会議中に
[01:06:51] 審査をお願いいたします。
[01:06:54] 日経第22意見は第6号
[01:06:59] 工学療用費制度の負担上限額引き上げの
[01:07:05] 撤開を求める意見を議題といたします。お
[01:07:10] 諮りいたします。本件については総務構成
[01:07:12] 上任委員会に付託したいと思います。これ
[01:07:15] にご異議ございませんか?
[01:07:19] 異議なしと認めます。よって意見案第6号
[01:07:23] は総務厚生任員会に
[01:07:26] 不託し審査することに決しました。今定例
[01:07:30] 会の会機地に審査をお願いします。
[01:07:34] 日程対23意見案7号比較3原則の検事と
[01:07:41] 法制化を求める意見書を議題といたします
[01:07:44] 。お諮かりいたします。本件についについ
[01:07:48] ては総務構成常任委員会に不託したいと
[01:07:51] 思います。これにご異議ございませんか?
[01:07:55] 異議なしと認めます。よって意見案第7号
[01:08:00] は総務厚生常任委員会に不託し審査する
[01:08:03] ことに決しました。本定例会の会議地に
[01:08:07] 審査をお願いします。
[01:08:11] お諮りいたします。議案調整のため
[01:08:14] 6月4日から6月16日までの18日間
[01:08:20] 9回することに、
[01:08:22] あ、13
[01:08:23] 日間回することにいたしたいと思います。これにご異議ございませんか?議なしと認めます。よって
[01:08:32] 6月4日から6月16日までの13
[01:08:36] 日間を回することに消しました。
[01:08:40] 以上を持って本日の日程を終了いたしました。本日はこれを持って参加いたします。
[01:08:47] 終を行います。
[01:08:49] ご苦労様でした。
